N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1,2.118,3.182,2.572,0.602,0.9,0.822,4.759,11.134,10.909,5.036,11.233,11.042,2.539,3.347,3.447,0.997,0.99,3.07,-3.064
2,1.712,2.918,2.524,0.546,0.854,0.802,-0.305,10.505,10.35,-0.018,11.128,11.002,2.539,3.165,3.439,0.994,0.99,4.762,0.414
3,1.846,2.966,2.615,0.585,0.873,0.835,2.082,11.243,11.112,2.372,11.808,11.704,2.788,3.216,3.454,0.995,0.992,1.817,-1.936
4,1.716,2.894,2.624,0.553,0.88,0.845,-0.221,11.46,11.343,0.112,12.324,12.234,2.912,3.21,3.518,0.985,0.983,1.907,-1.548
5,1.753,3.045,2.788,0.529,0.823,0.785,0.84,12.613,12.502,1.157,13.644,13.574,3.041,3.198,3.516,0.983,0.983,0.711,1.434
6,1.741,3.043,2.723,0.533,0.813,0.758,-0.237,12.325,12.009,0.085,13.827,13.379,3.127,3.244,3.413,0.983,0.981,6.58,5.09
7,1.702,3.083,2.78,0.501,0.817,0.768,-1.138,12.579,12.294,-0.799,13.879,13.487,3.071,3.281,3.469,0.983,0.981,5.058,3.415
8,1.736,3.055,2.71,0.521,0.826,0.772,-0.236,12.471,12.183,0.097,13.77,13.38,3.03,3.3,3.477,0.984,0.981,3.917,2.158
9,1.743,3.09,2.728,0.534,0.838,0.787,0.464,12.777,12.5,0.803,14.007,13.642,3.068,3.28,3.46,0.984,0.982,3.029,1.181
10,1.7,3.054,2.705,0.523,0.846,0.797,-0.261,12.895,12.615,0.113,14.049,13.688,3.098,3.256,3.451,0.984,0.983,2.319,0.4
11,1.664,3.055,2.745,0.496,0.826,0.781,-1.021,13.116,12.858,-0.594,14.325,14.001,3.107,3.252,3.493,0.982,0.98,1.738,-0.24
12,1.756,3.107,2.791,0.523,0.836,0.792,-0.217,13.243,12.994,0.206,14.413,14.104,3.114,3.25,3.443,0.982,0.98,1.254,-0.773
13,1.775,3.082,2.779,0.531,0.843,0.801,-0.085,13.142,12.908,0.343,14.361,14.074,3.071,3.239,3.448,0.982,0.98,0.844,-1.224
14,1.772,3.084,2.746,0.532,0.843,0.798,-0.228,13.155,12.913,0.206,14.352,14.059,3.034,3.226,3.441,0.982,0.98,0.493,-0.896
15,1.773,3.098,2.757,0.536,0.849,0.805,0.185,13.064,12.832,0.63,14.369,14.089,3.047,3.24,3.457,0.981,0.979,0.188,-1.279
16,1.752,3.137,2.786,0.53,0.85,0.806,-0.244,12.971,12.735,0.35,14.337,14.054,3.059,3.246,3.473,0.981,0.978,0.443,-1.093
17,1.76,3.173,2.815,0.528,0.851,0.807,-0.194,13.189,12.964,0.39,14.559,14.29,3.038,3.23,3.466,0.981,0.977,0.177,-1.419
18,1.758,3.172,2.836,0.541,0.857,0.815,-0.247,13.17,12.954,0.328,14.767,14.508,3.02,3.224,3.48,0.978,0.977,-0.059,-1.708
19,1.751,3.197,2.863,0.535,0.858,0.816,-0.372,13.291,13.082,0.198,14.9,14.648,3.031,3.209,3.469,0.977,0.976,-0.27,-1.968
20,1.758,3.179,2.829,0.543,0.86,0.814,-0.241,13.161,12.953,0.321,14.86,14.608,3.04,3.21,3.468,0.976,0.974,-0.46,-0.701
21,1.747,3.17,2.827,0.536,0.862,0.818,-0.507,13.241,13.043,0.046,14.881,14.642,3.053,3.216,3.484,0.977,0.974,-0.632,-0.984
22,1.754,3.162,2.832,0.539,0.86,0.818,-0.23,13.275,13.083,0.311,14.863,14.635,3.065,3.219,3.483,0.978,0.974,-0.789,-1.24
23,1.765,3.177,2.841,0.544,0.862,0.819,0.087,13.274,13.081,0.617,14.812,14.584,3.035,3.222,3.476,0.978,0.975,-0.932,-1.475
24,1.745,3.175,2.816,0.539,0.862,0.819,-0.232,13.238,13.018,0.3,14.73,14.477,3.008,3.225,3.491,0.979,0.976,-1.063,-1.69
25,1.75,3.18,2.816,0.54,0.864,0.821,-0.341,13.273,13.047,0.193,14.715,14.458,3.007,3.218,3.493,0.979,0.976,-1.183,-1.888
26,1.738,3.159,2.804,0.536,0.859,0.817,-0.233,13.229,13.007,0.293,14.752,14.5,3.006,3.218,3.484,0.979,0.976,-1.294,-2.07
27,1.741,3.164,2.784,0.54,0.86,0.817,-0.214,13.356,13.122,0.303,14.831,14.567,3.018,3.219,3.503,0.979,0.977,-1.397,-1.975
28,1.731,3.157,2.777,0.539,0.859,0.816,-0.226,13.51,13.28,0.287,14.947,14.689,3.029,3.218,3.506,0.979,0.976,-0.472,-1.121
29,1.727,3.141,2.768,0.541,0.859,0.816,0.009,13.461,13.233,0.512,14.863,14.609,3.024,3.221,3.504,0.979,0.976,-0.35,-1.065
30,1.715,3.133,2.747,0.533,0.858,0.814,-0.229,13.291,13.066,0.277,14.662,14.413,3.019,3.223,3.516,0.979,0.975,-0.474,-0.738
31,1.717,3.135,2.753,0.529,0.852,0.809,-0.319,13.294,13.073,0.183,14.69,14.447,3.026,3.234,3.52,0.979,0.975,-0.59,-0.928
32,1.714,3.145,2.756,0.533,0.854,0.81,-0.224,13.313,13.096,0.272,14.761,14.522,3.032,3.23,3.525,0.979,0.976,-0.699,-0.555
33,1.716,3.142,2.744,0.532,0.85,0.806,-0.149,13.294,13.081,0.345,14.771,14.536,3.029,3.233,3.522,0.979,0.976,-0.801,-0.739
34,1.716,3.15,2.746,0.532,0.85,0.805,-0.231,13.242,13.029,0.263,14.737,14.504,3.026,3.232,3.513,0.98,0.977,-0.309,-0.912
35,1.722,3.142,2.734,0.531,0.846,0.801,-0.263,13.234,13.022,0.226,14.747,14.516,3.03,3.237,3.517,0.98,0.977,-0.417,-1.076
36,1.724,3.138,2.733,0.533,0.848,0.803,-0.231,13.264,13.054,0.251,14.757,14.528,3.034,3.237,3.513,0.98,0.977,-0.518,-1.23
37,1.72,3.098,2.706,0.531,0.842,0.798,-0.171,13.074,12.868,0.31,14.574,14.351,3.036,3.237,3.518,0.979,0.977,-0.615,-1.376
38,1.711,3.072,2.687,0.532,0.84,0.796,-0.232,12.837,12.633,0.247,14.35,14.131,3.038,3.23,3.519,0.979,0.977,-0.706,-1.222
39,1.706,3.073,2.686,0.529,0.838,0.794,-0.221,12.832,12.629,0.254,14.382,14.164,3.031,3.231,3.516,0.979,0.977,-0.657,-0.956
40,1.701,3.087,2.696,0.53,0.84,0.797,-0.234,12.836,12.636,0.24,14.356,14.14,3.025,3.217,3.502,0.98,0.977,-0.742,-0.804
41,1.71,3.097,2.704,0.53,0.839,0.796,-0.116,12.833,12.634,0.355,14.4,14.185,3.025,3.223,3.497,0.98,0.977,-0.366,-0.489
42,1.7,3.085,2.701,0.527,0.839,0.796,-0.242,12.74,12.544,0.232,14.394,14.182,3.024,3.222,3.51,0.98,0.977,-0.455,-0.635
43,1.694,3.072,2.69,0.521,0.835,0.792,-0.409,12.681,12.486,0.071,14.328,14.118,3.012,3.226,3.518,0.979,0.977,-0.172,-0.285
44,1.709,3.082,2.696,0.528,0.838,0.795,-0.245,12.764,12.57,0.232,14.381,14.172,3.0,3.207,3.496,0.98,0.976,-0.26,-0.43
45,1.706,3.067,2.687,0.523,0.834,0.792,-0.353,12.776,12.584,0.121,14.393,14.188,3.001,3.213,3.511,0.98,0.977,-0.345,-0.419
46,1.713,3.082,2.697,0.526,0.836,0.792,-0.246,12.779,12.587,0.223,14.391,14.185,3.002,3.208,3.502,0.98,0.977,-0.426,-0.554
47,1.706,3.067,2.688,0.521,0.83,0.789,-0.292,12.778,12.59,0.183,14.41,14.211,2.995,3.209,3.507,0.98,0.977,-0.504,-0.38
48,1.719,3.074,2.684,0.526,0.832,0.789,-0.249,12.807,12.613,0.222,14.435,14.23,2.989,3.212,3.508,0.98,0.977,-0.578,-0.51
49,1.724,3.083,2.696,0.527,0.833,0.79,-0.178,12.821,12.629,0.295,14.491,14.288,3.005,3.216,3.517,0.98,0.977,-0.649,-0.635
50,1.718,3.082,2.698,0.525,0.835,0.793,-0.256,12.85,12.66,0.224,14.501,14.301,3.02,3.214,3.524,0.98,0.977,-0.718,-0.755
51,1.715,3.077,2.691,0.524,0.833,0.79,-0.24,12.862,12.672,0.235,14.514,14.316,3.021,3.213,3.52,0.98,0.977,-0.784,-0.576
52,1.715,3.079,2.693,0.524,0.833,0.791,-0.257,12.827,12.639,0.217,14.452,14.256,3.022,3.21,3.523,0.98,0.977,-0.847,-0.597
53,1.71,3.073,2.697,0.521,0.831,0.791,-0.33,12.83,12.644,0.141,14.461,14.268,3.022,3.208,3.528,0.98,0.977,-0.908,-0.711
54,1.713,3.074,2.692,0.522,0.833,0.792,-0.259,12.812,12.626,0.209,14.453,14.259,3.022,3.209,3.529,0.98,0.977,-0.967,-0.82
55,1.719,3.074,2.695,0.522,0.833,0.792,-0.203,12.822,12.639,0.265,14.488,14.297,3.019,3.22,3.536,0.98,0.977,-1.023,-0.926
56,1.714,3.066,2.694,0.521,0.833,0.793,-0.253,12.774,12.593,0.226,14.501,14.313,3.017,3.223,3.539,0.98,0.978,-1.078,-1.028
57,1.716,3.063,2.696,0.521,0.833,0.792,-0.2,12.78,12.599,0.277,14.514,14.325,3.025,3.231,3.549,0.98,0.978,-1.13,-1.009
58,1.715,3.058,2.69,0.521,0.834,0.792,-0.248,12.743,12.564,0.226,14.473,14.286,3.032,3.234,3.559,0.98,0.978,-1.127,-1.053
