ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,2.118,3.182,2.572,0.602,0.9,0.822,4.759,11.134,10.909,5.036,11.233,11.042,2.539,3.347,3.447,0.997,0.99,3.07,-3.064
1089-134686-0000_121-127105-0031,Spk2,1.307,2.654,2.477,0.491,0.808,0.781,-5.37,9.876,9.791,-5.072,11.022,10.963,2.539,2.984,3.431,0.991,0.99,6.453,3.891
1089-134686-0000_260-123440-0016,Spk1,2.114,3.063,2.796,0.663,0.91,0.902,6.857,12.719,12.635,7.152,13.17,13.108,3.285,3.317,3.483,0.997,0.995,-4.073,-6.635
1089-134686-0000_260-123440-0016,Spk2,1.324,2.675,2.65,0.457,0.901,0.877,-7.129,12.109,12.037,-6.668,13.871,13.822,3.285,3.191,3.71,0.954,0.958,2.177,-0.385
1089-134691-0015_672-122797-0050,Spk1,1.904,3.652,3.443,0.433,0.596,0.544,5.082,17.227,17.137,5.335,18.925,18.934,3.557,3.149,3.508,0.978,0.983,-4.073,13.365
1089-134691-0015_672-122797-0050,Spk2,1.68,3.034,2.402,0.553,0.765,0.624,-5.621,10.884,9.546,-5.271,14.738,12.405,3.557,3.474,2.899,0.979,0.97,35.927,23.365
1089-134691-0016_260-123286-0009,Spk1,1.469,3.321,3.119,0.305,0.836,0.824,-6.541,14.102,14.002,-6.107,14.192,14.133,2.737,3.507,3.807,0.988,0.982,-4.073,-6.635
1089-134691-0016_260-123286-0009,Spk2,1.97,2.862,2.221,0.666,0.895,0.803,6.073,11.717,11.403,6.37,13.008,12.634,2.737,3.429,3.528,0.985,0.983,-4.073,-6.635
1089-134691-0017_5142-36586-0004,Spk1,1.803,3.367,2.875,0.638,0.928,0.909,6.068,15.225,15.044,6.455,15.902,15.735,3.374,3.124,3.326,0.991,0.991,-4.073,-6.635
1089-134691-0017_5142-36586-0004,Spk2,1.311,2.733,2.492,0.424,0.922,0.882,-6.786,13.956,13.645,-6.099,14.428,14.109,3.374,3.04,3.369,0.984,0.989,-4.073,-6.635
1089-134691-0018_4970-29095-0024,Spk1,1.299,3.059,3.147,0.224,0.621,0.623,-8.623,15.329,15.293,-7.662,17.091,17.129,3.19,3.21,3.915,0.955,0.95,-4.073,-6.635
1089-134691-0018_4970-29095-0024,Spk2,2.77,3.687,3.304,0.823,0.952,0.917,8.623,14.636,14.488,9.004,15.377,15.235,3.19,3.228,2.891,0.99,0.982,-4.073,-6.635
1089-134691-0019_2830-3980-0011,Spk1,2.005,2.781,2.631,0.618,0.928,0.906,1.507,11.93,11.878,1.989,13.735,13.713,2.559,3.104,3.509,0.972,0.971,-4.073,-6.635
1089-134691-0019_2830-3980-0011,Spk2,1.737,3.099,2.311,0.544,0.843,0.758,-2.089,13.32,12.969,-1.578,14.241,13.871,2.559,3.067,3.355,0.988,0.982,-4.073,3.365
1089-134691-0019_672-122797-0023,Spk1,1.786,3.3,2.919,0.602,0.923,0.904,5.971,11.791,11.7,6.567,14.608,14.501,3.229,3.424,3.674,0.972,0.962,-4.073,-6.635
1089-134691-0019_672-122797-0023,Spk2,1.431,3.721,3.224,0.43,0.867,0.828,-6.686,11.574,11.279,-3.85,13.853,13.525,3.229,3.341,3.711,0.977,0.963,4.26,1.698
1089-134691-0020_7021-85628-0000,Spk1,1.889,3.752,3.276,0.51,0.873,0.814,0.612,16.687,16.632,1.037,18.105,18.073,2.712,2.97,3.353,0.978,0.973,-4.073,-6.635
1089-134691-0020_7021-85628-0000,Spk2,1.728,3.157,3.198,0.752,0.957,0.952,-1.151,12.848,12.789,-0.728,18.315,18.211,2.712,3.131,3.724,0.935,0.978,-4.073,-6.635
1089-134691-0020_908-31957-0004,Spk1,1.63,3.647,3.349,0.439,0.88,0.838,-2.619,15.469,15.379,-2.146,17.281,17.171,3.222,2.937,3.265,0.95,0.949,-4.073,-6.635
1089-134691-0020_908-31957-0004,Spk2,1.888,2.836,2.177,0.681,0.893,0.781,2.237,10.677,10.511,2.649,14.1,13.846,3.222,3.216,3.454,0.964,0.939,-4.073,23.365
1089-134691-0022_2830-3979-0000,Spk1,1.52,2.997,2.78,0.408,0.912,0.89,-5.83,14.851,14.829,-5.457,15.304,15.325,3.31,3.336,3.809,0.988,0.967,-4.073,-6.635
1089-134691-0022_2830-3979-0000,Spk2,1.899,2.984,2.933,0.597,0.817,0.808,5.594,13.981,13.934,5.88,14.494,14.478,3.31,3.29,3.46,0.994,0.992,-4.073,-6.635
1089-134691-0023_1580-141083-0000,Spk1,2.013,3.515,3.057,0.658,0.903,0.859,7.053,13.262,13.04,7.352,13.68,13.465,2.379,3.3,3.316,0.991,0.993,-4.073,-6.635
1089-134691-0023_1580-141083-0000,Spk2,1.277,3.131,2.237,0.415,0.86,0.817,-7.556,12.398,11.562,-6.976,12.841,12.029,2.379,3.279,3.849,0.99,0.986,-4.073,-6.635
1089-134691-0023_8224-274381-0011,Spk1,1.878,3.291,2.81,0.557,0.907,0.867,-2.949,14.122,13.746,-2.393,14.357,13.991,2.991,3.055,3.523,0.992,0.992,-4.073,-6.635
1089-134691-0023_8224-274381-0011,Spk2,1.426,2.631,2.5,0.451,0.746,0.709,2.461,12.141,12.009,2.793,15.686,15.561,2.991,3.216,3.261,0.975,0.977,-4.073,-6.635
1089-134691-0025_4970-29095-0012,Spk1,1.827,3.301,2.271,0.631,0.868,0.824,0.269,16.649,16.095,0.562,16.883,16.312,3.319,3.244,3.993,0.991,0.984,-4.073,0.508
1089-134691-0025_4970-29095-0012,Spk2,1.469,2.971,2.593,0.523,0.828,0.776,-0.534,17.679,17.549,-0.148,18.064,17.958,3.319,3.192,3.585,0.954,0.944,24.498,21.936
1089-134691-0025_5105-28233-0004,Spk1,1.611,2.689,2.512,0.599,0.886,0.812,6.573,12.067,11.925,6.827,12.518,12.389,2.883,3.321,3.469,0.987,0.991,3.07,0.508
1089-134691-0025_5105-28233-0004,Spk2,1.377,2.891,2.125,0.298,0.809,0.77,-7.14,8.374,8.211,-6.557,8.83,8.714,2.883,3.262,3.855,0.975,0.935,-4.073,8.75
1188-133604-0001_1995-1826-0012,Spk1,1.766,3.207,2.939,0.413,0.678,0.656,-2.995,13.395,13.291,-2.615,15.537,15.46,3.226,3.568,3.655,0.985,0.99,-4.073,-6.635
1188-133604-0001_1995-1826-0012,Spk2,1.625,3.437,2.847,0.653,0.912,0.85,2.715,13.878,13.817,3.015,16.948,16.864,3.226,3.115,3.652,0.992,0.994,-4.073,11.012
1188-133604-0003_672-122797-0056,Spk1,1.766,3.049,2.376,0.482,0.733,0.682,2.236,12.698,12.586,2.69,15.107,14.997,2.933,3.328,3.428,0.981,0.986,-4.073,-6.635
1188-133604-0003_672-122797-0056,Spk2,1.726,3.427,2.805,0.544,0.83,0.772,-2.924,11.523,11.324,-2.457,13.628,13.436,2.933,3.195,3.226,0.987,0.993,15.927,-6.635
1188-133604-0003_8230-279154-0014,Spk1,1.939,2.881,2.335,0.497,0.726,0.657,-1.345,12.96,12.802,-1.034,15.058,14.911,3.172,3.395,3.657,0.987,0.995,-4.073,-6.635
1188-133604-0003_8230-279154-0014,Spk2,1.772,2.98,2.675,0.614,0.921,0.875,0.866,14.329,14.154,1.142,15.113,14.946,3.172,3.237,3.387,0.982,0.984,-4.074,-6.635
1188-133604-0004_672-122797-0017,Spk1,1.575,1.678,1.734,0.446,0.636,0.618,1.996,6.225,6.184,2.446,7.993,7.979,3.098,3.236,3.665,0.957,0.958,-4.074,-6.635
1188-133604-0004_672-122797-0017,Spk2,1.397,2.111,2.007,0.561,0.745,0.711,-2.492,4.059,3.93,-2.112,6.068,5.99,3.098,2.979,3.583,0.987,0.978,-4.074,4.476
1188-133604-0005_1580-141083-0020,Spk1,1.501,3.089,2.623,0.443,0.763,0.729,0.209,12.633,12.493,0.536,15.581,15.42,2.794,3.261,3.383,0.978,0.981,1.189,9.154
1188-133604-0005_1580-141083-0020,Spk2,1.51,3.623,3.099,0.55,0.927,0.907,-0.722,13.024,12.89,-0.304,13.348,13.231,2.794,2.673,2.963,0.988,0.982,-4.074,5.13
1188-133604-0005_4446-2271-0003,Spk1,2.066,3.506,3.003,0.539,0.813,0.759,4.581,12.68,12.553,4.951,16.169,15.973,2.996,3.473,3.299,0.99,0.982,14.676,12.115
1188-133604-0005_4446-2271-0003,Spk2,1.304,2.581,2.582,0.415,0.835,0.812,-5.393,8.938,8.875,-4.79,14.166,14.07,2.996,3.18,4.047,0.976,0.972,-4.074,-6.635
1188-133604-0005_6829-68769-0036,Spk1,1.448,2.553,2.237,0.256,0.639,0.604,-7.414,10.201,10.04,-6.715,11.542,11.407,2.503,3.395,3.853,0.965,0.956,11.715,14.418
1188-133604-0005_6829-68769-0036,Spk2,2.342,3.485,2.951,0.813,0.972,0.927,6.787,16.352,16.161,7.141,16.67,16.499,2.503,2.403,2.56,0.988,0.967,-4.074,-6.635
