ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0008_672-122797-0007,Spk1,1.709,2.823,1.962,0.568,0.881,0.7,1.794,11.57,5.397,1.978,11.682,5.592,2.603,3.006,2.537,0.991,0.924,-3.751,24.104
1089-134686-0008_672-122797-0007,Spk2,1.636,3.111,2.133,0.463,0.751,0.55,-2.08,11.347,5.082,-1.889,13.293,7.116,2.603,3.001,2.14,0.99,0.929,-3.751,24.104
1089-134686-0008_8230-279154-0012,Spk1,1.877,3.439,2.115,0.627,0.931,0.707,0.16,14.954,8.587,0.489,15.237,8.922,3.318,3.154,2.526,0.991,0.925,18.471,46.326
1089-134686-0008_8230-279154-0012,Spk2,1.646,2.933,1.999,0.459,0.876,0.663,-0.422,15.012,8.847,-0.01,16.494,10.409,3.318,3.354,3.018,0.981,0.91,10.535,38.39
1089-134686-0010_4507-16021-0023,Spk1,2.104,3.678,2.534,0.735,0.969,0.774,3.295,17.507,11.314,3.482,17.612,11.499,1.928,2.911,2.441,0.994,0.926,-3.751,24.104
1089-134686-0010_4507-16021-0023,Spk2,1.481,3.116,1.953,0.429,0.871,0.686,-3.367,10.195,4.042,-3.139,16.136,10.031,1.928,3.03,3.002,0.963,0.918,10.535,38.39
1089-134686-0011_1320-122612-0004,Spk1,1.631,3.438,2.126,0.456,0.875,0.688,-5.464,15.544,9.286,-5.134,15.754,9.58,2.659,3.291,2.783,0.989,0.919,-3.751,24.104
1089-134686-0011_1320-122612-0004,Spk2,1.615,3.112,1.706,0.661,0.938,0.705,5.561,13.691,7.429,5.737,15.982,9.704,2.659,3.285,2.685,0.994,0.931,-3.751,24.104
1089-134686-0013_3570-5695-0000,Spk1,1.777,2.855,1.901,0.456,0.848,0.662,-1.555,13.742,7.59,-1.152,13.939,7.864,2.719,3.311,2.167,0.982,0.913,3.392,31.247
1089-134686-0013_3570-5695-0000,Spk2,1.644,3.103,1.864,0.565,0.889,0.677,1.315,12.848,6.698,1.562,16.38,10.27,2.719,2.798,1.836,0.989,0.923,-3.751,24.104
1089-134686-0013_7127-75946-0007,Spk1,2.008,3.105,2.112,0.673,0.831,0.66,3.59,12.508,6.345,3.834,12.605,6.521,2.76,3.269,2.557,0.985,0.92,3.392,31.247
1089-134686-0013_7127-75946-0007,Spk2,1.765,2.776,1.754,0.443,0.689,0.532,-3.575,6.092,-0.063,-3.287,8.3,2.216,2.76,2.857,2.504,0.987,0.928,-3.751,24.104
1089-134686-0015_4970-29093-0003,Spk1,2.162,3.28,2.207,0.693,0.874,0.688,6.396,13.832,7.63,6.543,14.034,7.905,2.643,3.367,2.276,0.991,0.926,-3.751,31.247
1089-134686-0015_4970-29093-0003,Spk2,1.525,3.141,1.701,0.504,0.884,0.637,-6.675,15.793,9.126,-6.399,16.0,9.327,2.643,3.168,2.768,0.983,0.914,-3.751,36.604
1089-134686-0015_5142-33396-0067,Spk1,1.801,3.425,2.245,0.635,0.905,0.686,4.029,14.874,8.644,4.208,14.993,8.836,2.63,3.363,2.753,0.992,0.921,-3.751,31.247
1089-134686-0015_5142-33396-0067,Spk2,1.342,2.739,1.579,0.591,0.842,0.587,-4.223,14.254,7.899,-3.706,14.266,7.985,2.63,2.908,2.341,0.991,0.919,5.34,46.831
1089-134686-0016_672-122797-0004,Spk1,2.629,3.078,1.732,0.779,0.917,0.729,5.344,13.267,7.059,5.513,13.589,7.455,2.621,2.952,2.278,0.984,0.917,-3.751,24.104
1089-134686-0016_672-122797-0004,Spk2,1.696,3.563,2.539,0.452,0.745,0.561,-5.49,13.87,7.593,-5.178,15.352,9.195,2.621,3.118,2.613,0.968,0.898,-3.751,24.104
1089-134686-0017_1580-141084-0045,Spk1,1.472,3.684,2.728,0.579,0.93,0.76,2.293,15.704,9.476,2.597,16.803,10.627,3.063,3.264,2.258,0.978,0.925,8.749,24.104
1089-134686-0017_1580-141084-0045,Spk2,1.467,3.652,1.964,0.515,0.918,0.72,-2.497,14.553,8.034,-2.062,16.277,9.686,3.063,3.359,2.755,0.993,0.925,-3.751,24.104
1089-134686-0019_5142-33396-0021,Spk1,2.218,3.75,2.413,0.654,0.918,0.675,6.894,15.957,9.569,7.067,17.018,10.632,2.438,3.17,2.119,0.992,0.921,-3.751,24.104
1089-134686-0019_5142-33396-0021,Spk2,1.197,2.908,2.048,0.368,0.888,0.726,-7.194,14.793,8.583,-6.831,15.29,9.169,2.438,3.038,2.255,0.989,0.924,10.535,38.39
1089-134686-0021_4992-41797-0018,Spk1,1.756,3.607,2.578,0.503,0.931,0.729,-0.905,18.724,12.377,-0.711,18.74,12.463,3.068,3.073,2.735,0.996,0.927,-3.751,29.986
1089-134686-0021_4992-41797-0018,Spk2,1.533,3.31,2.335,0.598,0.939,0.753,0.617,14.239,8.018,0.782,16.977,10.773,3.068,3.27,2.978,0.997,0.93,-3.751,31.247
1089-134686-0022_1580-141083-0044,Spk1,1.454,2.96,1.407,0.49,0.846,0.641,-0.31,15.311,8.946,-0.131,15.456,9.129,2.307,3.223,2.449,0.985,0.917,1.805,35.215
1089-134686-0022_1580-141083-0044,Spk2,1.655,3.369,2.222,0.523,0.88,0.658,0.186,13.928,7.561,0.456,14.473,8.154,2.307,3.064,2.338,0.987,0.914,-3.75,24.104
1089-134686-0022_8455-210777-0023,Spk1,1.712,3.258,1.727,0.555,0.875,0.662,0.74,15.875,9.497,1.641,15.81,9.491,2.006,3.294,2.623,0.971,0.924,-3.75,55.354
1089-134686-0022_8455-210777-0023,Spk2,1.671,3.118,1.842,0.639,0.921,0.729,-0.996,11.706,5.35,-0.781,14.141,7.745,2.006,3.564,3.079,0.981,0.913,3.393,24.104
1089-134686-0023_6829-68771-0020,Spk1,1.714,2.95,1.527,0.616,0.901,0.65,1.606,14.072,7.489,1.808,13.947,7.522,2.1,3.475,3.045,0.997,0.923,-3.75,31.795
1089-134686-0023_6829-68771-0020,Spk2,1.455,2.938,1.879,0.558,0.929,0.754,-1.977,14.305,8.071,-1.718,14.295,8.165,2.1,3.389,2.809,0.984,0.907,-3.75,31.246
1089-134686-0024_1995-1836-0013,Spk1,1.72,3.119,1.92,0.385,0.888,0.665,-2.82,13.865,7.638,-2.577,13.792,7.64,2.154,3.339,2.459,0.992,0.929,-3.75,24.103
1089-134686-0024_1995-1836-0013,Spk2,1.378,3.497,2.63,0.596,0.934,0.758,2.425,13.208,7.075,2.638,18.566,12.506,2.154,3.275,2.728,0.989,0.923,3.393,31.246
1089-134686-0024_5683-32865-0016,Spk1,1.687,2.57,1.431,0.539,0.857,0.619,4.152,12.022,5.821,4.392,12.338,6.211,3.139,3.144,1.758,0.976,0.909,7.361,24.103
1089-134686-0024_5683-32865-0016,Spk2,1.222,2.763,2.002,0.524,0.871,0.711,-4.83,11.805,5.642,-4.321,12.809,6.703,3.139,3.115,2.653,0.964,0.904,29.583,57.436
1089-134686-0024_7176-92135-0042,Spk1,1.406,2.557,1.49,0.332,0.733,0.543,-7.29,12.014,5.765,-6.877,11.901,5.748,3.434,3.089,2.859,0.984,0.912,6.776,39.892
1089-134686-0024_7176-92135-0042,Spk2,1.871,3.151,1.996,0.692,0.905,0.699,6.899,14.733,8.511,7.07,16.482,10.275,3.434,3.325,2.497,0.99,0.923,-3.75,28.648
1089-134686-0025_7127-75947-0035,Spk1,1.431,3.034,1.91,0.502,0.868,0.688,4.419,16.965,10.716,4.666,17.196,11.018,2.951,3.329,2.773,0.991,0.881,-3.75,24.103
1089-134686-0025_7127-75947-0035,Spk2,1.377,3.232,1.962,0.476,0.907,0.73,-4.926,12.761,6.558,-4.361,13.347,7.212,2.951,3.173,2.236,0.995,0.93,-3.75,24.103
1089-134686-0026_8224-274384-0010,Spk1,1.876,3.306,2.375,0.523,0.907,0.715,-3.265,12.633,6.405,-2.561,12.807,6.665,2.985,3.306,2.363,0.991,0.926,-3.75,24.103
1089-134686-0026_8224-274384-0010,Spk2,1.632,2.902,2.212,0.619,0.887,0.643,2.946,12.46,6.179,3.177,15.453,9.142,2.985,3.364,2.901,0.986,0.916,-3.75,36.603
1089-134686-0028_6829-68771-0025,Spk1,1.673,3.651,2.504,0.613,0.954,0.742,2.244,17.71,11.215,2.394,18.066,11.608,2.365,3.319,2.54,0.998,0.925,-3.75,24.103
1089-134686-0028_6829-68771-0025,Spk2,1.408,2.884,1.933,0.461,0.931,0.731,-2.358,13.48,7.224,-2.172,13.488,7.329,2.365,3.35,2.851,0.985,0.905,5.341,33.194
1089-134686-0028_8224-274384-0005,Spk1,1.653,3.089,1.997,0.528,0.898,0.69,-2.825,11.969,5.735,-2.505,11.746,5.608,3.085,3.385,2.897,0.988,0.913,-3.75,24.103
1089-134686-0028_8224-274384-0005,Spk2,1.681,2.717,1.677,0.574,0.844,0.627,2.628,9.897,3.724,2.843,11.55,5.451,3.085,3.244,2.364,0.992,0.92,8.75,36.603
1089-134686-0029_121-127105-0007,Spk1,1.363,3.003,1.98,0.401,0.863,0.688,-4.357,14.435,8.188,-4.052,14.615,8.443,2.738,3.003,2.514,0.966,0.915,5.341,33.194
1089-134686-0029_121-127105-0007,Spk2,2.071,3.554,2.539,0.737,0.931,0.738,3.964,11.342,5.164,4.154,12.149,6.05,2.738,2.771,2.162,0.991,0.925,-3.75,24.103
1089-134686-0031_1320-122612-0008,Spk1,2.105,3.056,1.878,0.627,0.895,0.692,3.522,12.897,6.623,3.71,13.214,7.016,2.532,3.336,2.416,0.994,0.925,-3.75,24.103
