N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
44,1.701,3.068,1.982,0.547,0.878,0.682,-0.097,12.873,6.654,0.185,14.035,7.882,2.841,3.152,2.543,0.984,0.919,0.533,32.603
45,1.696,3.082,1.998,0.547,0.879,0.683,-0.044,12.936,6.716,0.238,14.097,7.943,2.846,3.154,2.536,0.984,0.919,0.716,32.414
46,1.691,3.094,1.998,0.547,0.88,0.684,-0.097,12.971,6.745,0.188,14.144,7.981,2.85,3.158,2.541,0.984,0.919,0.618,32.234
47,1.702,3.108,2.007,0.549,0.881,0.684,0.052,13.035,6.805,0.335,14.205,8.037,2.842,3.159,2.532,0.984,0.919,0.525,32.061
48,1.692,3.104,2.007,0.545,0.881,0.685,-0.099,13.072,6.842,0.185,14.228,8.061,2.833,3.156,2.526,0.984,0.919,0.734,32.193
49,1.693,3.114,2.019,0.544,0.882,0.686,-0.116,13.187,6.955,0.167,14.32,8.15,2.838,3.155,2.531,0.985,0.919,0.642,32.148
50,1.69,3.118,2.025,0.545,0.883,0.687,-0.101,13.208,6.976,0.179,14.373,8.203,2.843,3.157,2.54,0.985,0.92,0.555,32.13
51,1.685,3.115,2.013,0.544,0.882,0.686,-0.105,13.249,7.015,0.173,14.394,8.221,2.832,3.158,2.538,0.985,0.92,0.579,32.19
52,1.685,3.12,2.017,0.544,0.882,0.686,-0.1,13.262,7.025,0.179,14.396,8.22,2.822,3.156,2.534,0.985,0.919,0.496,32.035
53,1.685,3.123,2.012,0.544,0.882,0.685,-0.084,13.312,7.072,0.206,14.422,8.244,2.807,3.159,2.536,0.985,0.92,0.416,32.475
54,1.685,3.123,2.009,0.546,0.883,0.686,-0.101,13.282,7.04,0.188,14.417,8.235,2.792,3.166,2.546,0.984,0.919,0.471,32.32
55,1.685,3.119,2.0,0.547,0.883,0.685,-0.07,13.296,7.048,0.217,14.409,8.222,2.779,3.172,2.555,0.985,0.92,0.394,32.31
56,1.681,3.116,1.998,0.547,0.884,0.687,-0.104,13.314,7.067,0.183,14.407,8.221,2.767,3.176,2.559,0.985,0.919,0.32,32.291
57,1.682,3.116,1.996,0.545,0.884,0.686,-0.151,13.324,7.077,0.134,14.396,8.21,2.756,3.179,2.557,0.985,0.919,0.249,32.147
58,1.677,3.123,2.007,0.545,0.885,0.687,-0.107,13.322,7.077,0.178,14.468,8.284,2.746,3.18,2.56,0.985,0.92,0.303,32.132
59,1.677,3.113,1.998,0.545,0.884,0.686,-0.035,13.3,7.055,0.249,14.432,8.249,2.753,3.18,2.547,0.985,0.919,0.423,31.996
60,1.669,3.108,1.998,0.545,0.884,0.687,-0.115,13.275,7.032,0.173,14.405,8.224,2.759,3.179,2.549,0.984,0.919,0.909,32.42
61,1.665,3.099,1.989,0.541,0.882,0.684,-0.232,13.254,7.011,0.057,14.364,8.183,2.77,3.177,2.554,0.984,0.919,1.005,32.542
