ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0034_5639-40744-0005,Spk2,1.455,2.37,2.165,0.503,0.788,0.778,2.126,7.417,7.415,2.221,8.307,8.299,2.028,3.134,3.186,0.935,0.951,37.5,18.75
1089-134686-0034_8463-294828-0036,Spk2,1.758,3.325,3.049,0.534,0.846,0.823,1.851,10.983,10.932,1.938,13.671,13.581,2.201,2.843,3.207,0.984,0.99,0.0,0.0
1089-134686-0035_2300-131720-0025,Spk1,1.752,3.249,2.741,0.403,0.862,0.836,1.041,11.937,11.864,1.393,13.304,13.207,2.244,3.181,3.212,0.959,0.939,0.0,0.0
1089-134686-0035_2300-131720-0025,Spk2,1.478,3.136,2.87,0.463,0.841,0.816,-2.951,7.335,7.278,-2.561,11.035,10.965,2.244,3.186,3.362,0.977,0.965,11.111,0.0
1089-134686-0036_6930-75918-0008,Spk2,1.304,2.955,2.696,0.416,0.841,0.836,-3.651,7.891,7.567,-3.531,11.971,11.497,2.304,3.207,3.161,0.958,0.972,0.0,0.0
1089-134686-0037_2094-142345-0001,Spk1,1.798,2.86,2.388,0.506,0.788,0.741,0.487,12.311,12.273,0.622,13.121,13.072,1.963,3.156,3.2,0.967,0.963,0.0,7.692
1089-134686-0037_4446-2271-0000,Spk2,1.327,2.228,2.243,0.34,0.766,0.766,-4.385,8.041,8.038,-3.813,13.85,13.853,2.422,3.237,3.755,0.933,0.94,0.0,0.0
1089-134691-0001_1320-122617-0013,Spk2,1.559,3.067,2.654,0.518,0.867,0.829,1.761,10.36,10.322,1.921,14.038,13.97,2.41,3.569,3.437,0.986,0.973,6.25,12.5
1089-134691-0002_4507-16021-0036,Spk1,1.976,2.789,2.575,0.493,0.826,0.793,1.912,8.963,8.929,1.962,10.174,10.133,1.982,3.215,3.23,0.98,0.975,0.0,0.0
1089-134691-0002_8455-210777-0005,Spk2,1.408,2.386,2.093,0.344,0.755,0.724,-5.139,8.198,8.16,-4.65,10.736,10.671,1.884,3.056,3.497,0.963,0.963,6.25,12.5
