N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
67,1.524,2.709,2.432,0.425,0.799,0.774,-1.437,10.563,10.504,-1.242,12.165,12.1,2.093,3.092,3.324,0.966,0.964,9.856,12.747
68,1.522,2.708,2.431,0.424,0.8,0.775,-1.46,10.573,10.512,-1.266,12.166,12.1,2.094,3.095,3.329,0.966,0.964,9.911,12.76
69,1.523,2.711,2.438,0.424,0.801,0.776,-1.484,10.602,10.54,-1.291,12.181,12.114,2.098,3.095,3.332,0.967,0.964,9.929,12.656
70,1.524,2.708,2.436,0.426,0.801,0.775,-1.433,10.573,10.511,-1.242,12.161,12.095,2.101,3.093,3.326,0.967,0.964,9.876,12.653
71,1.52,2.707,2.436,0.424,0.8,0.775,-1.493,10.582,10.521,-1.301,12.16,12.094,2.101,3.092,3.325,0.967,0.964,9.993,12.731
72,1.523,2.712,2.442,0.426,0.801,0.776,-1.458,10.57,10.51,-1.268,12.144,12.079,2.101,3.09,3.317,0.967,0.964,10.251,12.951
73,1.529,2.714,2.442,0.428,0.802,0.776,-1.403,10.586,10.524,-1.214,12.15,12.084,2.1,3.094,3.32,0.967,0.965,10.111,12.774
74,1.528,2.712,2.438,0.428,0.802,0.775,-1.442,10.588,10.526,-1.253,12.16,12.094,2.099,3.096,3.325,0.968,0.965,10.103,12.666
75,1.526,2.714,2.435,0.426,0.802,0.775,-1.447,10.618,10.556,-1.258,12.18,12.114,2.095,3.099,3.327,0.967,0.964,10.101,12.63
76,1.528,2.715,2.434,0.426,0.802,0.776,-1.425,10.64,10.578,-1.237,12.201,12.135,2.092,3.099,3.329,0.967,0.964,10.094,12.464
77,1.528,2.718,2.438,0.426,0.803,0.776,-1.456,10.684,10.622,-1.267,12.234,12.168,2.093,3.097,3.326,0.967,0.964,9.963,12.302
78,1.526,2.716,2.438,0.427,0.802,0.776,-1.403,10.68,10.617,-1.216,12.274,12.204,2.093,3.089,3.321,0.967,0.963,10.155,12.251
79,1.529,2.719,2.441,0.428,0.802,0.776,-1.355,10.712,10.648,-1.169,12.295,12.225,2.094,3.086,3.317,0.967,0.963,10.027,12.096
80,1.526,2.713,2.436,0.428,0.803,0.776,-1.392,10.699,10.635,-1.206,12.272,12.201,2.096,3.083,3.313,0.967,0.963,10.006,12.049
81,1.529,2.716,2.436,0.427,0.802,0.775,-1.428,10.728,10.662,-1.238,12.297,12.224,2.102,3.086,3.314,0.967,0.963,9.882,11.9
82,1.53,2.716,2.433,0.428,0.803,0.776,-1.368,10.744,10.678,-1.18,12.334,12.261,2.109,3.085,3.315,0.967,0.963,9.762,11.866
83,1.53,2.711,2.429,0.426,0.802,0.775,-1.433,10.738,10.671,-1.245,12.318,12.244,2.108,3.088,3.314,0.966,0.961,9.737,12.094
84,1.529,2.707,2.426,0.427,0.802,0.775,-1.391,10.698,10.633,-1.204,12.27,12.197,2.107,3.089,3.313,0.965,0.961,10.067,12.173
85,1.531,2.709,2.424,0.427,0.802,0.775,-1.405,10.72,10.653,-1.219,12.285,12.211,2.104,3.092,3.317,0.966,0.961,10.21,12.291
86,1.529,2.7,2.415,0.427,0.801,0.772,-1.39,10.698,10.629,-1.204,12.29,12.212,2.1,3.09,3.316,0.965,0.961,10.303,12.677
87,1.529,2.699,2.414,0.426,0.801,0.772,-1.427,10.71,10.639,-1.24,12.295,12.215,2.101,3.09,3.32,0.965,0.961,10.185,12.531
88,1.532,2.706,2.421,0.427,0.801,0.773,-1.389,10.713,10.642,-1.204,12.311,12.231,2.103,3.087,3.319,0.965,0.961,10.069,12.389
89,1.534,2.713,2.425,0.427,0.802,0.774,-1.362,10.727,10.656,-1.175,12.322,12.242,2.104,3.088,3.318,0.965,0.961,9.956,12.25
90,1.533,2.717,2.43,0.427,0.803,0.774,-1.38,10.689,10.618,-1.19,12.308,12.228,2.106,3.089,3.318,0.965,0.961,9.969,12.113
91,1.531,2.715,2.427,0.425,0.801,0.773,-1.458,10.688,10.617,-1.26,12.303,12.223,2.104,3.089,3.319,0.965,0.961,10.347,12.591
92,1.529,2.701,2.416,0.427,0.8,0.772,-1.398,10.573,10.502,-1.2,12.213,12.133,2.102,3.089,3.321,0.965,0.961,10.643,12.862
93,1.53,2.699,2.41,0.425,0.799,0.77,-1.4,10.593,10.522,-1.202,12.232,12.152,2.104,3.089,3.317,0.965,0.961,10.707,13.082
94,1.528,2.702,2.413,0.425,0.799,0.771,-1.424,10.564,10.49,-1.227,12.229,12.145,2.107,3.09,3.316,0.965,0.961,10.593,12.943
95,1.531,2.704,2.413,0.426,0.799,0.77,-1.403,10.583,10.509,-1.207,12.239,12.155,2.105,3.091,3.315,0.965,0.961,10.482,12.887
96,1.528,2.699,2.411,0.424,0.799,0.77,-1.414,10.492,10.419,-1.218,12.199,12.116,2.104,3.09,3.315,0.965,0.961,10.522,12.753
97,1.534,2.703,2.413,0.425,0.799,0.77,-1.376,10.525,10.452,-1.18,12.226,12.143,2.107,3.091,3.315,0.965,0.961,10.413,12.736
98,1.532,2.698,2.411,0.424,0.798,0.77,-1.407,10.5,10.428,-1.207,12.242,12.16,2.11,3.092,3.32,0.964,0.961,10.307,12.606
99,1.532,2.698,2.409,0.422,0.797,0.768,-1.44,10.504,10.432,-1.239,12.235,12.153,2.113,3.095,3.322,0.964,0.961,10.322,12.598
100,1.533,2.702,2.411,0.423,0.798,0.769,-1.408,10.503,10.431,-1.208,12.253,12.171,2.116,3.1,3.323,0.965,0.961,10.281,12.597
101,1.537,2.703,2.413,0.424,0.798,0.769,-1.375,10.488,10.416,-1.176,12.233,12.151,2.115,3.101,3.322,0.965,0.961,10.179,12.472
102,1.539,2.697,2.41,0.424,0.797,0.768,-1.39,10.474,10.403,-1.19,12.241,12.16,2.113,3.1,3.318,0.964,0.96,10.515,12.568
103,1.541,2.696,2.41,0.423,0.797,0.769,-1.371,10.464,10.394,-1.172,12.226,12.145,2.111,3.102,3.32,0.964,0.96,10.478,12.51
104,1.539,2.693,2.407,0.423,0.797,0.768,-1.407,10.442,10.372,-1.206,12.212,12.131,2.109,3.101,3.321,0.964,0.96,10.437,12.51
105,1.539,2.693,2.405,0.422,0.796,0.767,-1.434,10.441,10.37,-1.233,12.2,12.119,2.107,3.105,3.324,0.964,0.96,10.338,12.464
106,1.542,2.691,2.402,0.422,0.794,0.765,-1.398,10.425,10.355,-1.199,12.207,12.126,2.105,3.108,3.325,0.964,0.96,10.24,12.425
107,1.541,2.688,2.399,0.422,0.794,0.765,-1.383,10.426,10.356,-1.184,12.2,12.119,2.104,3.11,3.327,0.964,0.96,10.144,12.309
108,1.539,2.685,2.397,0.42,0.793,0.764,-1.421,10.395,10.326,-1.222,12.176,12.096,2.104,3.107,3.326,0.964,0.96,10.159,12.304
109,1.538,2.686,2.397,0.42,0.793,0.764,-1.417,10.4,10.331,-1.218,12.175,12.095,2.106,3.109,3.327,0.964,0.96,10.066,12.191
110,1.537,2.691,2.401,0.419,0.794,0.765,-1.429,10.409,10.34,-1.229,12.177,12.097,2.108,3.104,3.32,0.964,0.96,9.975,12.08
111,1.539,2.695,2.404,0.42,0.795,0.766,-1.437,10.414,10.345,-1.239,12.175,12.095,2.109,3.106,3.321,0.964,0.96,9.924,11.972
112,1.539,2.697,2.408,0.42,0.795,0.766,-1.415,10.413,10.344,-1.219,12.174,12.095,2.11,3.108,3.322,0.964,0.96,9.88,11.909
113,1.538,2.702,2.411,0.42,0.796,0.767,-1.435,10.436,10.366,-1.238,12.195,12.115,2.115,3.108,3.323,0.964,0.961,9.891,11.804
114,1.537,2.705,2.415,0.421,0.797,0.768,-1.409,10.436,10.367,-1.212,12.223,12.143,2.12,3.108,3.323,0.965,0.961,9.804,11.7
115,1.539,2.705,2.412,0.42,0.796,0.767,-1.429,10.457,10.387,-1.233,12.237,12.157,2.119,3.109,3.326,0.965,0.961,9.719,11.599
116,1.539,2.706,2.416,0.422,0.797,0.768,-1.39,10.472,10.403,-1.195,12.249,12.168,2.119,3.107,3.323,0.965,0.961,9.693,11.499
117,1.539,2.707,2.414,0.421,0.797,0.768,-1.4,10.503,10.433,-1.205,12.273,12.192,2.122,3.107,3.326,0.965,0.961,9.61,11.556
118,1.538,2.706,2.413,0.421,0.796,0.767,-1.398,10.496,10.426,-1.203,12.274,12.193,2.126,3.108,3.332,0.965,0.961,9.605,11.689
119,1.537,2.705,2.412,0.42,0.796,0.766,-1.409,10.507,10.437,-1.214,12.28,12.199,2.128,3.111,3.337,0.965,0.961,9.601,11.82
120,1.537,2.697,2.407,0.42,0.796,0.767,-1.419,10.457,10.387,-1.224,12.226,12.145,2.129,3.113,3.338,0.965,0.961,9.771,11.888
121,1.539,2.701,2.411,0.419,0.793,0.764,-1.419,10.463,10.394,-1.223,12.234,12.154,2.129,3.115,3.337,0.965,0.961,9.69,11.79
122,1.539,2.704,2.417,0.419,0.793,0.764,-1.417,10.479,10.41,-1.222,12.258,12.178,2.128,3.114,3.338,0.965,0.961,9.702,11.784
123,1.541,2.706,2.421,0.418,0.791,0.762,-1.385,10.494,10.426,-1.19,12.273,12.194,2.125,3.116,3.335,0.965,0.962,9.623,11.689
124,1.54,2.704,2.417,0.418,0.791,0.762,-1.411,10.484,10.415,-1.217,12.266,12.187,2.123,3.115,3.331,0.965,0.962,9.725,11.773
125,1.544,2.709,2.424,0.417,0.788,0.759,-1.389,10.512,10.445,-1.196,12.293,12.216,2.122,3.115,3.33,0.965,0.962,9.807,11.839
126,1.543,2.707,2.42,0.416,0.787,0.758,-1.432,10.488,10.419,-1.238,12.278,12.199,2.122,3.116,3.33,0.965,0.961,9.967,12.063
127,1.542,2.703,2.415,0.414,0.786,0.757,-1.485,10.48,10.412,-1.291,12.263,12.184,2.121,3.115,3.329,0.964,0.961,10.036,12.263
128,1.542,2.696,2.41,0.414,0.785,0.756,-1.466,10.457,10.389,-1.272,12.237,12.158,2.119,3.116,3.33,0.964,0.961,9.958,12.259
129,1.544,2.699,2.413,0.415,0.786,0.756,-1.42,10.482,10.413,-1.226,12.256,12.177,2.122,3.115,3.327,0.964,0.961,9.881,12.164
130,1.542,2.698,2.413,0.415,0.786,0.757,-1.463,10.498,10.428,-1.268,12.267,12.186,2.126,3.114,3.324,0.965,0.961,9.805,12.071
131,1.541,2.695,2.413,0.413,0.784,0.755,-1.526,10.49,10.42,-1.326,12.258,12.179,2.122,3.114,3.325,0.964,0.961,9.73,11.978
132,1.541,2.698,2.415,0.414,0.784,0.755,-1.494,10.501,10.431,-1.294,12.264,12.184,2.119,3.114,3.32,0.964,0.961,9.656,12.056
133,1.544,2.698,2.415,0.415,0.785,0.756,-1.482,10.504,10.435,-1.282,12.271,12.192,2.117,3.112,3.319,0.964,0.961,9.583,11.965
134,1.544,2.697,2.414,0.415,0.785,0.756,-1.492,10.508,10.438,-1.292,12.272,12.192,2.114,3.111,3.319,0.964,0.961,9.512,11.876
135,1.545,2.697,2.414,0.415,0.785,0.756,-1.463,10.505,10.435,-1.262,12.279,12.198,2.113,3.111,3.322,0.964,0.961,9.441,11.788
136,1.543,2.696,2.411,0.414,0.785,0.755,-1.507,10.491,10.42,-1.289,12.267,12.185,2.111,3.111,3.323,0.964,0.961,9.372,11.885
137,1.544,2.702,2.418,0.414,0.785,0.756,-1.497,10.523,10.452,-1.278,12.3,12.218,2.11,3.11,3.32,0.964,0.961,9.304,11.799
138,1.544,2.704,2.421,0.416,0.786,0.757,-1.498,10.517,10.446,-1.279,12.319,12.238,2.109,3.108,3.32,0.964,0.961,9.236,11.713
