ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0008_672-122797-0007,Spk1,1.471,2.548,2.451,0.438,0.795,0.775,-0.275,9.571,9.539,-0.47,10.544,10.504,2.095,3.031,3.287,0.975,0.978,1.268,1.268
1089-134686-0008_672-122797-0007,Spk2,1.59,2.799,2.654,0.375,0.674,0.658,-3.332,9.102,9.065,-3.526,11.712,11.666,2.095,2.946,2.967,0.963,0.988,1.268,1.268
1089-134686-0008_8230-279154-0012,Spk1,1.72,3.292,2.567,0.559,0.878,0.807,0.164,12.715,12.535,0.092,13.965,13.79,2.398,3.025,3.505,0.979,0.978,23.49,12.379
1089-134686-0008_8230-279154-0012,Spk2,1.574,2.776,2.396,0.403,0.804,0.761,-0.499,12.534,12.529,-0.491,15.067,15.062,2.398,3.344,3.814,0.959,0.968,15.554,15.554
1089-134686-0010_4507-16021-0023,Spk1,1.846,3.188,3.037,0.504,0.878,0.862,0.748,13.489,13.478,0.561,14.443,14.429,1.584,2.87,3.176,0.939,0.954,1.268,1.268
1089-134686-0010_4507-16021-0023,Spk2,1.368,2.721,2.529,0.315,0.777,0.791,-4.474,8.435,8.438,-4.612,13.857,13.866,1.584,2.919,3.464,0.934,0.924,86.982,115.554
1089-134686-0011_1320-122612-0004,Spk1,1.576,3.262,2.625,0.412,0.812,0.784,-5.535,12.67,12.585,-5.547,13.679,13.587,2.851,3.152,3.555,0.973,0.977,1.268,1.268
1089-134686-0011_1320-122612-0004,Spk2,1.553,2.934,2.349,0.613,0.898,0.812,4.8,11.777,11.672,4.575,14.698,14.526,2.851,3.218,3.434,0.981,0.992,1.268,1.268
1089-134686-0013_3570-5695-0000,Spk1,1.685,2.868,2.715,0.377,0.79,0.778,-1.919,11.61,11.595,-1.925,12.708,12.683,2.131,3.344,3.388,0.968,0.97,8.411,8.411
1089-134686-0013_3570-5695-0000,Spk2,1.558,2.987,2.635,0.48,0.838,0.816,0.766,10.434,10.43,0.62,15.2,15.171,2.131,2.683,2.521,0.98,0.987,1.268,1.268
1089-134686-0013_7127-75946-0007,Spk1,1.776,2.969,2.645,0.563,0.786,0.76,2.701,10.223,10.217,2.539,11.165,11.153,2.121,3.226,3.365,0.97,0.979,8.411,8.411
1089-134686-0013_7127-75946-0007,Spk2,1.68,2.419,1.789,0.355,0.573,0.562,-3.753,3.146,3.078,-3.84,7.005,6.894,2.121,2.552,2.811,0.947,0.954,1.268,10.359
1089-134686-0015_4970-29093-0003,Spk1,1.741,3.067,2.856,0.602,0.812,0.795,5.586,12.091,12.051,5.337,13.255,13.202,2.152,3.381,3.232,0.968,0.984,8.411,8.411
1089-134686-0015_4970-29093-0003,Spk2,1.434,2.647,2.345,0.408,0.828,0.75,-6.665,13.168,12.983,-6.779,14.22,14.027,2.152,2.969,3.369,0.967,0.97,32.518,32.518
1089-134686-0015_5142-33396-0067,Spk1,1.85,3.01,2.659,0.502,0.803,0.771,2.229,12.145,12.103,2.015,13.144,13.1,2.306,3.401,3.294,0.958,0.972,1.268,8.411
1089-134686-0015_5142-33396-0067,Spk2,1.21,2.402,2.052,0.402,0.714,0.654,-4.834,11.724,11.544,-4.699,12.621,12.429,2.306,3.062,3.472,0.978,0.986,14.904,37.632
1089-134686-0016_672-122797-0004,Spk1,1.886,2.242,1.923,0.548,0.829,0.816,0.622,9.897,9.877,0.508,10.896,10.869,2.193,2.419,2.547,0.972,0.971,1.268,1.268
1089-134686-0016_672-122797-0004,Spk2,1.378,3.088,2.67,0.287,0.631,0.633,-7.15,9.998,9.98,-7.167,12.746,12.72,2.193,3.081,3.453,0.933,0.939,15.554,15.554
1089-134686-0017_1580-141084-0045,Spk1,1.487,3.099,2.925,0.421,0.848,0.845,0.275,12.577,12.54,0.168,14.207,14.15,2.253,3.168,3.147,0.94,0.962,1.268,13.768
1089-134686-0017_1580-141084-0045,Spk2,1.287,2.998,2.481,0.364,0.85,0.835,-3.726,11.315,11.185,-3.653,13.186,13.029,2.253,3.257,3.51,0.974,0.989,1.268,1.268
1089-134686-0019_5142-33396-0021,Spk1,1.949,3.29,3.03,0.47,0.792,0.779,4.572,13.471,13.38,4.369,14.949,14.843,1.556,3.431,3.25,0.972,0.982,1.268,1.268
1089-134686-0019_5142-33396-0021,Spk2,1.133,2.426,2.288,0.31,0.783,0.773,-7.533,11.2,11.149,-7.466,12.439,12.388,1.556,3.115,3.283,0.976,0.982,29.839,29.839
