ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134691-0013_4992-23283-0007,Spk2,1.441,3.054,3.046,0.592,0.909,0.886,2.956,10.691,10.639,3.076,16.035,15.911,2.94,3.102,3.387,0.974,0.981,0.0,0.0
1089-134691-0015_3575-170457-0015,Spk2,1.745,3.195,3.027,0.65,0.887,0.841,0.203,14.053,13.988,0.339,16.942,16.843,3.134,2.99,3.177,0.969,0.975,22.222,11.111
1089-134691-0015_5683-32879-0011,Spk1,1.813,3.004,2.974,0.415,0.57,0.492,4.041,13.353,13.308,4.139,15.182,15.139,2.785,3.018,2.559,0.962,0.979,0.0,0.0
1089-134691-0015_672-122797-0050,Spk1,1.904,3.652,3.395,0.431,0.586,0.523,5.312,16.642,16.59,5.335,18.925,18.938,3.524,3.057,3.52,0.975,0.979,0.0,20.0
1089-134691-0017_5142-36586-0004,Spk2,1.311,2.733,2.485,0.422,0.912,0.873,-6.556,13.371,13.068,-6.099,14.428,14.086,3.341,2.948,3.014,0.981,0.984,0.0,0.0
1089-134691-0020_7021-85628-0000,Spk2,1.728,3.157,3.285,0.749,0.947,0.943,-0.921,12.263,12.239,-0.728,18.315,18.216,2.679,3.039,3.405,0.932,0.972,0.0,0.0
1089-134691-0023_1580-141083-0000,Spk1,2.013,3.515,3.056,0.655,0.893,0.851,7.284,12.677,12.505,7.352,13.68,13.482,2.346,3.208,3.202,0.988,0.992,0.0,0.0
1089-134691-0023_8224-274381-0011,Spk1,1.878,3.291,2.816,0.554,0.897,0.865,-2.718,13.537,13.329,-2.393,14.357,14.125,2.958,2.966,3.006,0.989,0.99,0.0,4.545
1089-134691-0023_8224-274381-0011,Spk2,1.426,2.631,2.525,0.448,0.736,0.686,2.692,11.556,11.46,2.793,15.686,15.565,2.958,3.126,3.306,0.972,0.974,0.0,0.0
1089-134691-0025_5105-28233-0004,Spk1,1.611,2.689,2.477,0.596,0.876,0.802,6.804,11.482,11.363,6.827,12.518,12.389,2.85,3.22,3.396,0.984,0.988,7.143,7.143
1188-133604-0001_1995-1826-0012,Spk1,1.766,3.207,2.989,0.41,0.668,0.648,-2.764,12.81,12.741,-2.615,15.537,15.464,3.193,3.475,3.745,0.982,0.985,0.0,0.0
1188-133604-0003_672-122797-0056,Spk1,1.766,3.049,2.464,0.479,0.723,0.688,2.467,12.113,12.033,2.69,15.107,14.996,2.9,3.237,2.975,0.978,0.982,0.0,0.0
1188-133604-0003_8230-279154-0014,Spk1,1.939,2.881,2.39,0.494,0.716,0.622,-1.114,12.375,12.233,-1.034,15.058,14.888,3.139,3.305,3.559,0.984,0.989,0.0,0.0
1188-133604-0005_1580-141083-0020,Spk1,1.501,3.089,2.594,0.44,0.753,0.712,0.44,12.048,11.943,0.536,15.581,15.422,2.761,3.17,3.424,0.975,0.976,5.263,15.789
1188-133604-0010_61-70970-0014,Spk1,1.386,2.358,2.296,0.31,0.577,0.58,-2.156,12.137,12.171,-1.671,15.281,15.401,2.651,3.179,3.589,0.958,0.972,0.0,14.286
1188-133604-0011_4970-29095-0008,Spk1,1.968,3.535,3.303,0.611,0.86,0.816,3.454,12.894,12.83,3.768,17.17,17.073,3.737,3.345,3.77,0.98,0.983,0.0,0.0
1188-133604-0014_4992-23283-0016,Spk1,2.045,3.039,2.817,0.487,0.792,0.763,3.056,12.819,12.782,3.288,16.338,16.307,2.841,3.75,3.888,0.983,0.987,0.0,0.0
1188-133604-0014_4992-23283-0016,Spk2,1.469,2.648,2.751,0.488,0.866,0.824,-2.766,9.51,9.506,-1.907,15.239,15.244,2.841,3.312,3.307,0.98,0.983,0.0,0.0
1188-133604-0016_7176-88083-0018,Spk1,1.79,2.901,2.825,0.499,0.807,0.749,3.023,12.546,12.375,3.085,15.214,14.972,3.438,3.566,3.696,0.988,0.993,0.0,6.667
1188-133604-0017_5142-33396-0001,Spk1,1.781,3.47,3.121,0.687,0.92,0.899,4.835,13.749,13.675,4.906,17.091,16.954,3.269,3.193,3.476,0.982,0.985,0.0,0.0
1188-133604-0018_1089-134686-0026,Spk1,1.805,2.847,2.657,0.596,0.837,0.784,2.2,11.349,11.306,2.458,13.125,13.066,3.075,3.152,3.394,0.983,0.986,0.0,0.0
1188-133604-0019_8224-274384-0008,Spk2,1.666,2.474,2.25,0.579,0.883,0.787,-4.05,10.634,10.447,-3.98,14.047,13.775,3.694,3.213,3.68,0.991,0.992,3.333,3.333
1188-133604-0020_3729-6852-0044,Spk2,1.604,3.115,2.599,0.445,0.793,0.759,-4.074,8.26,8.164,-4.017,12.875,12.621,2.978,3.15,3.391,0.968,0.969,0.0,0.0
1188-133604-0022_1320-122617-0034,Spk1,1.399,2.609,2.493,0.279,0.626,0.582,-6.931,8.703,8.68,-6.822,9.853,9.834,3.505,3.051,3.899,0.981,0.986,0.0,0.0
1188-133604-0022_1320-122617-0034,Spk2,2.248,3.418,3.033,0.742,0.935,0.91,6.842,11.707,11.676,6.899,14.969,14.903,3.505,3.296,3.545,0.989,0.991,0.0,0.0
