N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
410,1.659,3.055,2.687,0.542,0.856,0.814,0.002,11.932,11.766,0.185,14.261,14.046,2.94,3.109,3.347,0.978,0.973,5.221,8.38
411,1.659,3.057,2.686,0.542,0.856,0.814,0.002,11.93,11.764,0.185,14.261,14.045,2.939,3.109,3.348,0.978,0.973,5.22,8.371
412,1.659,3.057,2.687,0.542,0.856,0.814,0.002,11.93,11.764,0.185,14.263,14.047,2.938,3.11,3.349,0.978,0.973,5.207,8.351
413,1.658,3.058,2.687,0.541,0.856,0.814,-0.011,11.932,11.766,0.172,14.264,14.048,2.938,3.11,3.35,0.977,0.973,5.195,8.33
414,1.658,3.059,2.687,0.542,0.856,0.815,0.002,11.936,11.77,0.185,14.265,14.048,2.937,3.111,3.35,0.977,0.973,5.182,8.31
415,1.658,3.06,2.687,0.542,0.856,0.815,-0.008,11.938,11.771,0.175,14.266,14.05,2.936,3.111,3.35,0.978,0.973,5.206,8.314
416,1.657,3.061,2.69,0.542,0.857,0.815,0.002,11.938,11.772,0.185,14.271,14.055,2.936,3.112,3.35,0.978,0.973,5.193,8.294
417,1.657,3.061,2.69,0.542,0.857,0.815,0.0,11.939,11.773,0.183,14.271,14.055,2.935,3.112,3.35,0.978,0.973,5.205,8.286
418,1.657,3.061,2.69,0.541,0.857,0.815,0.002,11.935,11.768,0.185,14.263,14.048,2.935,3.112,3.35,0.978,0.973,5.192,8.267
419,1.658,3.062,2.69,0.542,0.857,0.815,0.002,11.941,11.774,0.184,14.273,14.056,2.936,3.112,3.351,0.978,0.973,5.192,8.247
420,1.659,3.063,2.691,0.541,0.856,0.814,0.002,11.94,11.773,0.184,14.278,14.061,2.937,3.112,3.351,0.978,0.973,5.18,8.227
421,1.659,3.064,2.691,0.541,0.856,0.814,0.004,11.94,11.773,0.185,14.279,14.062,2.937,3.111,3.351,0.978,0.973,5.167,8.218
422,1.658,3.064,2.691,0.541,0.856,0.815,0.002,11.942,11.775,0.183,14.277,14.06,2.937,3.109,3.349,0.978,0.973,5.165,8.208
423,1.658,3.065,2.691,0.541,0.856,0.815,-0.004,11.941,11.774,0.178,14.274,14.057,2.936,3.108,3.349,0.978,0.973,5.182,8.218
424,1.658,3.064,2.69,0.541,0.856,0.814,0.002,11.939,11.772,0.183,14.275,14.058,2.935,3.109,3.349,0.978,0.973,5.191,8.22
425,1.658,3.065,2.691,0.541,0.856,0.815,0.01,11.942,11.775,0.191,14.282,14.064,2.936,3.109,3.349,0.978,0.973,5.226,8.248
426,1.657,3.063,2.691,0.541,0.856,0.814,0.002,11.945,11.778,0.183,14.285,14.068,2.937,3.109,3.35,0.978,0.973,5.256,8.229
427,1.657,3.062,2.689,0.541,0.856,0.814,-0.001,11.937,11.77,0.18,14.275,14.058,2.936,3.108,3.349,0.978,0.973,5.317,8.297
428,1.657,3.061,2.688,0.541,0.856,0.814,0.002,11.929,11.762,0.183,14.276,14.059,2.936,3.108,3.349,0.977,0.973,5.355,8.344
429,1.656,3.062,2.689,0.541,0.856,0.814,0.0,11.929,11.762,0.181,14.277,14.06,2.935,3.107,3.348,0.978,0.973,5.342,8.325
430,1.656,3.062,2.688,0.541,0.856,0.814,0.002,11.924,11.758,0.183,14.277,14.061,2.934,3.107,3.349,0.978,0.973,5.427,8.403
431,1.656,3.062,2.688,0.541,0.856,0.814,0.019,11.925,11.759,0.2,14.283,14.067,2.934,3.107,3.349,0.978,0.973,5.414,8.393
432,1.655,3.063,2.688,0.541,0.856,0.814,0.002,11.924,11.757,0.183,14.28,14.063,2.934,3.107,3.349,0.978,0.973,5.402,8.374
433,1.654,3.062,2.688,0.541,0.856,0.814,0.008,11.927,11.76,0.189,14.286,14.07,2.935,3.107,3.348,0.978,0.973,5.435,8.401
434,1.655,3.063,2.688,0.541,0.856,0.814,0.002,11.928,11.761,0.184,14.286,14.07,2.935,3.107,3.348,0.978,0.973,5.423,8.381
435,1.655,3.063,2.689,0.541,0.856,0.814,0.003,11.929,11.762,0.185,14.289,14.072,2.935,3.107,3.348,0.978,0.973,5.446,8.397
436,1.654,3.062,2.688,0.541,0.856,0.814,0.001,11.923,11.756,0.183,14.285,14.069,2.935,3.107,3.348,0.978,0.973,5.433,8.378
437,1.654,3.062,2.688,0.541,0.856,0.814,-0.002,11.924,11.758,0.18,14.293,14.077,2.935,3.107,3.348,0.978,0.973,5.421,8.359
438,1.654,3.064,2.689,0.541,0.857,0.815,0.001,11.937,11.77,0.183,14.303,14.086,2.934,3.106,3.346,0.978,0.973,5.409,8.34
