ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
121-121726-0006_260-123286-0027,Spk2,1.817,3.114,2.876,0.579,0.852,0.795,1.305,12.822,12.638,1.413,15.158,14.873,3.043,3.261,3.063,0.944,0.937,0.0,0.0
121-121726-0006_61-70970-0003,Spk1,1.884,3.713,3.616,0.724,0.942,0.94,2.66,15.656,15.59,2.818,16.864,16.786,3.313,3.1,3.183,0.978,0.985,0.0,0.0
121-121726-0008_4446-2273-0000,Spk1,1.513,2.424,2.469,0.591,0.889,0.868,-1.278,5.817,5.807,-0.863,6.302,6.292,2.42,3.225,3.347,0.98,0.968,42.857,14.286
121-121726-0008_5105-28240-0008,Spk1,1.491,2.785,2.887,0.517,0.927,0.893,-3.403,14.836,14.806,-3.236,16.934,16.892,3.393,3.206,3.809,0.976,0.968,14.286,14.286
121-121726-0008_5105-28240-0008,Spk2,2.371,3.723,3.153,0.695,0.876,0.811,3.315,11.859,11.726,3.393,14.253,14.065,3.393,3.282,3.583,0.985,0.985,15.385,15.385
121-121726-0009_1284-1181-0019,Spk2,1.382,2.775,2.584,0.549,0.928,0.917,-5.082,14.044,13.794,-4.822,17.151,16.825,2.677,3.337,3.848,0.951,0.93,10.0,10.0
121-121726-0011_4507-16021-0038,Spk1,1.575,3.495,2.744,0.67,0.946,0.913,-6.142,18.366,17.764,-5.894,20.052,19.276,3.299,3.252,3.724,0.971,0.987,0.0,14.286
121-121726-0014_7021-79740-0000,Spk2,1.592,2.591,2.743,0.687,0.911,0.863,6.39,10.325,10.288,6.514,17.701,17.526,2.14,3.095,3.126,0.981,0.975,0.0,12.5
121-123852-0004_7176-92135-0002,Spk1,1.273,3.081,2.535,0.371,0.892,0.852,-4.328,13.52,13.293,-4.19,15.528,15.323,2.666,3.031,3.36,0.952,0.953,12.5,12.5
121-123859-0003_260-123288-0025,Spk2,2.074,3.421,2.798,0.695,0.898,0.782,5.752,13.411,13.029,5.775,16.853,16.12,3.107,3.323,3.185,0.987,0.979,3.125,6.25
121-123859-0004_2830-3980-0075,Spk1,1.452,2.92,2.789,0.618,0.895,0.881,0.099,12.726,12.676,0.086,14.667,14.621,3.399,2.995,3.464,0.987,0.981,0.0,18.182
121-127105-0000_2961-961-0016,Spk1,1.797,3.437,2.926,0.675,0.916,0.871,1.338,13.134,12.676,1.374,15.008,14.386,2.904,2.604,3.247,0.99,0.987,4.545,9.091
