ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134691-0014_237-134500-0012,Spk1,1.689,2.684,2.121,0.357,0.766,0.708,-3.775,12.858,12.703,-3.653,13.889,13.711,2.05,3.242,3.773,0.966,0.961,0.0,0.0
1089-134691-0015_3575-170457-0015,Spk1,1.814,3.17,2.986,0.218,0.511,0.473,-1.406,11.239,11.234,-1.099,13.194,13.192,2.061,3.351,3.278,0.962,0.975,0.0,0.0
1089-134691-0015_3575-170457-0015,Spk2,1.433,3.056,3.072,0.401,0.813,0.801,-1.266,12.434,12.414,-1.082,15.136,15.111,2.061,2.993,3.405,0.964,0.967,11.111,11.111
1089-134691-0019_2830-3980-0011,Spk2,1.606,2.67,2.224,0.44,0.761,0.667,-2.882,10.983,10.818,-2.561,12.441,12.266,1.813,2.991,3.356,0.98,0.965,0.0,0.0
1089-134691-0019_672-122797-0023,Spk1,1.583,2.675,2.463,0.449,0.843,0.781,2.466,10.149,9.989,2.737,13.158,12.914,1.878,3.193,3.699,0.966,0.981,0.0,0.0
1089-134691-0020_7021-85628-0000,Spk2,1.527,2.908,2.857,0.627,0.901,0.896,-1.625,9.628,9.62,-1.414,14.909,14.894,2.013,2.957,3.313,0.949,0.972,0.0,0.0
1089-134691-0023_1580-141083-0000,Spk1,1.891,3.203,2.824,0.526,0.842,0.812,4.237,11.515,11.414,4.314,12.384,12.271,2.183,3.136,3.282,0.983,0.988,0.0,0.0
1089-134691-0023_1580-141083-0000,Spk2,1.241,2.64,1.962,0.328,0.807,0.744,-8.144,9.825,9.329,-7.77,10.801,10.314,2.183,3.17,3.444,0.983,0.983,0.0,3.448
1089-134691-0025_5105-28233-0004,Spk1,1.492,2.414,2.349,0.45,0.784,0.772,4.401,10.243,10.205,4.438,11.193,11.155,2.344,3.28,3.326,0.979,0.976,7.143,0.0
1188-133604-0001_1995-1826-0012,Spk1,1.63,3.034,2.745,0.354,0.628,0.609,-3.719,10.551,10.533,-3.564,12.969,12.948,2.173,3.329,3.518,0.974,0.978,0.0,0.0
1188-133604-0003_8230-279154-0014,Spk1,1.813,2.689,2.289,0.384,0.664,0.611,-2.439,10.735,10.67,-2.341,13.349,13.285,2.615,3.276,3.746,0.977,0.981,0.0,0.0
1188-133604-0003_8230-279154-0014,Spk2,1.579,2.869,2.572,0.527,0.874,0.83,-0.37,11.963,11.819,-0.311,13.63,13.46,2.615,3.345,3.461,0.985,0.973,0.0,0.0
1188-133604-0010_61-70970-0014,Spk1,1.402,2.095,2.249,0.261,0.526,0.526,-2.994,9.943,9.958,-2.506,12.176,12.229,2.691,3.168,3.427,0.939,0.967,0.0,0.0
1188-133604-0010_61-70970-0014,Spk2,1.85,3.095,2.488,0.581,0.85,0.783,0.663,12.125,11.888,0.769,14.042,13.815,2.691,3.317,3.393,0.978,0.959,9.091,9.091
1188-133604-0013_2830-3980-0004,Spk2,1.376,2.387,1.792,0.446,0.819,0.729,1.808,9.858,9.768,1.934,11.728,11.615,1.742,3.211,3.405,0.94,0.953,0.0,0.0
1188-133604-0014_4992-23283-0016,Spk1,1.769,2.551,2.566,0.342,0.694,0.67,0.771,10.93,10.959,0.962,13.607,13.686,2.488,3.37,3.659,0.971,0.969,0.0,0.0
