ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1221-135767-0016_4970-29093-0012,Spk1,1.653,3.516,2.75,0.639,0.877,0.835,0.496,12.007,11.659,0.534,14.573,14.226,2.82,2.572,3.264,0.987,0.984,0.0,4.348
1221-135767-0022_7176-92135-0032,Spk2,1.29,2.346,2.4,0.375,0.808,0.761,-3.321,12.956,12.93,-2.995,15.751,15.731,3.229,2.896,3.85,0.967,0.966,18.182,0.0
1284-1180-0001_1580-141083-0003,Spk1,1.675,2.959,2.749,0.72,0.914,0.895,7.386,12.216,12.175,7.423,16.913,16.804,2.951,3.16,3.531,0.98,0.979,0.0,4.348
1284-1180-0002_7021-79759-0003,Spk2,1.248,2.44,2.372,0.628,0.894,0.823,-0.947,9.272,9.215,-0.735,12.549,12.451,2.86,3.182,3.483,0.985,0.986,0.0,0.0
1284-1180-0003_237-134493-0014,Spk1,1.476,3.316,2.773,0.568,0.908,0.862,-1.18,12.681,12.564,-1.107,18.013,17.724,2.743,3.034,3.406,0.97,0.966,0.0,0.0
1284-1180-0004_8455-210777-0031,Spk1,1.583,3.07,2.966,0.61,0.902,0.876,-0.124,11.906,11.889,0.151,16.252,16.221,2.622,3.146,3.287,0.977,0.972,7.143,7.143
1284-1180-0005_6829-68771-0000,Spk1,1.606,3.297,3.242,0.6,0.899,0.878,3.017,12.354,12.305,3.148,16.665,16.573,2.605,3.395,3.795,0.992,0.985,0.0,0.0
1284-1180-0005_6829-68771-0000,Spk2,1.523,3.109,2.643,0.524,0.926,0.859,-3.029,10.909,10.723,-2.825,11.289,11.106,2.605,2.978,3.535,0.97,0.99,0.0,5.0
1284-1180-0006_121-127105-0022,Spk1,2.086,2.348,2.279,0.78,0.872,0.852,8.224,10.882,10.807,8.258,13.501,13.397,3.406,3.164,3.306,0.975,0.966,0.0,0.0
1284-1180-0006_121-127105-0022,Spk2,1.387,2.858,2.533,0.386,0.867,0.85,-8.13,10.613,10.538,-7.895,12.535,12.428,3.406,3.109,3.679,0.978,0.973,0.0,0.0
1284-1180-0006_1320-122612-0004,Spk1,1.919,2.892,2.995,0.671,0.924,0.907,2.933,12.18,12.117,2.979,16.363,16.231,2.729,3.25,3.415,0.987,0.99,0.0,0.0
1284-1180-0006_1320-122612-0004,Spk2,1.358,2.9,2.054,0.425,0.891,0.764,-3.02,12.707,12.528,-2.92,15.511,15.229,2.729,3.261,3.328,0.99,0.981,6.667,6.667
