ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0008_672-122797-0007,Spk1,1.709,2.823,2.71,0.568,0.881,0.862,1.794,11.57,11.534,1.978,11.682,11.637,2.603,3.006,3.443,0.991,0.987,-3.751,-5.931
1089-134686-0008_672-122797-0007,Spk2,1.636,3.111,2.881,0.463,0.751,0.712,-2.08,11.347,11.219,-1.889,13.293,13.161,2.603,3.001,3.046,0.99,0.992,-3.751,-5.931
1089-134686-0008_8230-279154-0012,Spk1,1.877,3.439,2.863,0.627,0.931,0.869,0.16,14.954,14.724,0.489,15.237,14.967,3.318,3.154,3.432,0.991,0.988,18.471,16.291
1089-134686-0008_8230-279154-0012,Spk2,1.646,2.933,2.747,0.459,0.876,0.825,-0.422,15.012,14.984,-0.01,16.494,16.454,3.318,3.354,3.924,0.981,0.973,10.535,8.355
1089-134686-0010_4507-16021-0023,Spk1,2.104,3.678,3.282,0.735,0.969,0.936,3.295,17.507,17.451,3.482,17.612,17.544,1.928,2.911,3.347,0.994,0.989,-3.751,-5.931
1089-134686-0010_4507-16021-0023,Spk2,1.481,3.116,2.701,0.429,0.871,0.848,-3.367,10.195,10.179,-3.139,16.136,16.076,1.928,3.03,3.908,0.963,0.981,10.535,8.355
1089-134686-0011_1320-122612-0004,Spk1,1.631,3.438,2.874,0.456,0.875,0.85,-5.464,15.544,15.423,-5.134,15.754,15.625,2.659,3.291,3.689,0.989,0.982,-3.751,-5.931
1089-134686-0011_1320-122612-0004,Spk2,1.615,3.112,2.454,0.661,0.938,0.867,5.561,13.691,13.566,5.737,15.982,15.749,2.659,3.285,3.591,0.994,0.994,-3.751,-5.931
1089-134686-0013_3570-5695-0000,Spk1,1.777,2.855,2.649,0.456,0.848,0.824,-1.555,13.742,13.727,-1.152,13.939,13.909,2.719,3.311,3.073,0.982,0.976,3.392,1.212
1089-134686-0013_3570-5695-0000,Spk2,1.644,3.103,2.612,0.565,0.889,0.839,1.315,12.848,12.835,1.562,16.38,16.315,2.719,2.798,2.742,0.989,0.986,-3.751,-5.931
1089-134686-0013_7127-75946-0007,Spk1,2.008,3.105,2.86,0.673,0.831,0.822,3.59,12.508,12.482,3.834,12.605,12.566,2.76,3.269,3.463,0.985,0.983,3.392,1.212
1089-134686-0013_7127-75946-0007,Spk2,1.765,2.776,2.502,0.443,0.689,0.694,-3.575,6.092,6.074,-3.287,8.3,8.261,2.76,2.857,3.41,0.987,0.991,-3.751,-5.931
1089-134686-0015_4970-29093-0003,Spk1,2.162,3.28,2.955,0.693,0.874,0.85,6.396,13.832,13.767,6.543,14.034,13.95,2.643,3.367,3.182,0.991,0.989,-3.751,1.212
1089-134686-0015_4970-29093-0003,Spk2,1.525,3.141,2.449,0.504,0.884,0.799,-6.675,15.793,15.263,-6.399,16.0,15.372,2.643,3.168,3.674,0.983,0.977,-3.751,6.569
1089-134686-0015_5142-33396-0067,Spk1,1.801,3.425,2.993,0.635,0.905,0.848,4.029,14.874,14.781,4.208,14.993,14.881,2.63,3.363,3.659,0.992,0.984,-3.751,1.212
1089-134686-0015_5142-33396-0067,Spk2,1.342,2.739,2.327,0.591,0.842,0.749,-4.223,14.254,14.036,-3.706,14.266,14.03,2.63,2.908,3.247,0.991,0.982,5.34,16.796
1089-134686-0016_672-122797-0004,Spk1,2.629,3.078,2.48,0.779,0.917,0.891,5.344,13.267,13.196,5.513,13.589,13.5,2.621,2.952,3.184,0.984,0.98,-3.751,-5.931
1089-134686-0016_672-122797-0004,Spk2,1.696,3.563,3.287,0.452,0.745,0.723,-5.49,13.87,13.73,-5.178,15.352,15.24,2.621,3.118,3.519,0.968,0.961,-3.751,-5.931
1089-134686-0017_1580-141084-0045,Spk1,1.472,3.684,3.476,0.579,0.93,0.922,2.293,15.704,15.613,2.597,16.803,16.672,3.063,3.264,3.164,0.978,0.988,8.749,-5.931
1089-134686-0017_1580-141084-0045,Spk2,1.467,3.652,2.712,0.515,0.918,0.882,-2.497,14.553,14.171,-2.062,16.277,15.731,3.063,3.359,3.661,0.993,0.988,-3.751,-5.931
1089-134686-0019_5142-33396-0021,Spk1,2.218,3.75,3.161,0.654,0.918,0.837,6.894,15.957,15.706,7.067,17.018,16.677,2.438,3.17,3.025,0.992,0.984,-3.751,-5.931
1089-134686-0019_5142-33396-0021,Spk2,1.197,2.908,2.796,0.368,0.888,0.888,-7.194,14.793,14.72,-6.831,15.29,15.214,2.438,3.038,3.161,0.989,0.987,10.535,8.355
1089-134686-0021_4992-41797-0018,Spk1,1.756,3.607,3.326,0.503,0.931,0.891,-0.905,18.724,18.514,-0.711,18.74,18.508,3.068,3.073,3.641,0.996,0.99,-3.751,-0.049
1089-134686-0021_4992-41797-0018,Spk2,1.533,3.31,3.083,0.598,0.939,0.915,0.617,14.239,14.155,0.782,16.977,16.818,3.068,3.27,3.884,0.997,0.993,-3.751,1.212
1089-134686-0022_1580-141083-0044,Spk1,1.454,2.96,2.155,0.49,0.846,0.803,-0.31,15.311,15.083,-0.131,15.456,15.174,2.307,3.223,3.355,0.985,0.98,1.805,5.18
1089-134686-0022_1580-141083-0044,Spk2,1.655,3.369,2.97,0.523,0.88,0.82,0.186,13.928,13.698,0.456,14.473,14.199,2.307,3.064,3.244,0.987,0.977,-3.75,-5.931
1089-134686-0022_8455-210777-0023,Spk1,1.712,3.258,2.475,0.555,0.875,0.824,0.74,15.875,15.634,1.641,15.81,15.536,2.006,3.294,3.529,0.971,0.987,-3.75,25.319
1089-134686-0022_8455-210777-0023,Spk2,1.671,3.118,2.59,0.639,0.921,0.891,-0.996,11.706,11.487,-0.781,14.141,13.79,2.006,3.564,3.985,0.981,0.976,3.393,-5.931
1089-134686-0023_6829-68771-0020,Spk1,1.714,2.95,2.275,0.616,0.901,0.812,1.606,14.072,13.626,1.808,13.947,13.567,2.1,3.475,3.951,0.997,0.986,-3.75,1.76
1089-134686-0023_6829-68771-0020,Spk2,1.455,2.938,2.627,0.558,0.929,0.916,-1.977,14.305,14.208,-1.718,14.295,14.21,2.1,3.389,3.715,0.984,0.97,-3.75,1.211
1089-134686-0024_1995-1836-0013,Spk1,1.72,3.119,2.668,0.385,0.888,0.827,-2.82,13.865,13.775,-2.577,13.792,13.685,2.154,3.339,3.365,0.992,0.992,-3.75,-5.932
