N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1,2.118,3.182,2.542,0.599,0.902,0.83,4.864,11.201,11.061,5.036,11.233,11.084,2.519,3.352,3.583,0.997,0.996,3.392,1.212
2,1.712,2.918,2.529,0.544,0.856,0.808,-0.2,10.572,10.476,-0.018,11.128,11.019,2.519,3.17,3.535,0.994,0.992,5.084,2.903
3,1.846,2.966,2.613,0.582,0.875,0.838,2.187,11.31,11.231,2.372,11.808,11.716,2.768,3.221,3.404,0.995,0.993,2.139,-0.041
4,1.716,2.894,2.611,0.55,0.882,0.844,-0.116,11.526,11.458,0.112,12.324,12.24,2.892,3.214,3.498,0.985,0.983,2.229,-1.514
5,1.694,2.855,2.547,0.525,0.885,0.852,0.031,11.578,11.509,0.277,12.273,12.188,2.801,3.18,3.541,0.986,0.984,1.033,-2.397
6,1.694,2.934,2.644,0.532,0.893,0.864,-0.137,11.959,11.893,0.127,12.674,12.593,2.74,3.147,3.455,0.987,0.984,0.236,-2.986
7,1.694,2.957,2.657,0.533,0.893,0.865,-0.255,11.935,11.871,-0.0,12.551,12.472,2.828,3.155,3.439,0.986,0.983,-0.334,-1.82
8,1.69,2.9,2.64,0.534,0.883,0.856,-0.126,11.376,11.319,0.12,12.455,12.382,2.894,3.163,3.434,0.986,0.984,-0.067,-1.639
9,1.682,2.985,2.736,0.534,0.89,0.862,-0.055,11.96,11.903,0.187,12.979,12.905,2.92,3.168,3.406,0.985,0.984,-0.476,-2.116
10,1.649,3.003,2.77,0.531,0.894,0.866,-0.107,12.146,12.088,0.149,13.377,13.302,2.94,3.175,3.416,0.986,0.984,-0.804,-1.588
11,1.638,3.009,2.786,0.529,0.895,0.87,-0.577,12.34,12.286,-0.315,13.455,13.385,2.929,3.165,3.425,0.985,0.984,-0.245,-0.33
12,1.657,3.025,2.76,0.542,0.896,0.865,-0.076,12.446,12.371,0.183,13.467,13.376,2.919,3.135,3.408,0.984,0.983,-0.537,0.485
