ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1188-133604-0038_5142-33396-0043,Spk2,1.679,3.254,3.269,0.583,0.938,0.908,-1.165,15.64,15.289,-1.033,16.559,16.222,3.145,2.851,2.4,0.985,0.987,0.0,10.0
121-121726-0001_672-122797-0015,Spk1,1.635,2.186,2.097,0.496,0.736,0.698,-3.305,10.046,10.015,-3.143,11.228,11.193,3.173,3.21,3.488,0.948,0.964,66.667,66.667
121-121726-0001_672-122797-0015,Spk2,1.849,3.141,2.493,0.699,0.842,0.767,3.306,11.282,10.847,3.386,13.119,12.74,3.173,2.666,2.854,0.969,0.925,0.0,0.0
121-121726-0002_8455-210777-0041,Spk1,1.987,3.774,3.829,0.717,0.947,0.947,2.103,15.025,15.033,2.163,16.274,16.285,3.032,2.768,2.607,0.988,0.988,20.0,20.0
121-121726-0002_8455-210777-0041,Spk2,1.112,2.681,2.359,0.694,0.911,0.888,-1.916,10.221,10.09,-1.861,13.037,12.86,3.032,3.341,2.945,0.978,0.963,7.692,7.692
121-121726-0003_672-122797-0059,Spk2,1.363,3.219,2.225,0.661,0.835,0.675,-1.84,11.707,11.401,-1.635,14.571,14.207,3.42,2.933,2.885,0.966,0.902,0.0,0.0
121-121726-0004_2830-3980-0020,Spk1,1.996,3.38,3.467,0.584,0.89,0.881,-1.77,12.659,12.608,-1.55,14.084,14.031,3.562,2.839,2.894,0.988,0.984,0.0,0.0
121-121726-0004_2830-3980-0020,Spk2,1.53,2.69,2.155,0.542,0.742,0.696,1.965,2.747,2.696,2.16,12.24,11.973,3.562,3.136,3.453,0.987,0.984,0.0,11.111
121-121726-0004_6930-81414-0003,Spk1,1.645,3.293,3.182,0.562,0.942,0.925,2.288,14.744,14.48,2.456,16.557,16.235,3.464,3.348,3.799,0.985,0.973,12.5,25.0
121-121726-0006_260-123286-0027,Spk1,1.529,3.316,3.101,0.55,0.886,0.883,-1.38,13.314,13.248,-1.288,14.876,14.81,3.043,2.897,2.514,0.978,0.99,0.0,14.286
121-121726-0006_4507-16021-0056,Spk1,1.589,3.397,3.361,0.585,0.903,0.899,-2.193,14.166,14.106,-1.802,15.326,15.264,2.959,2.873,2.813,0.979,0.989,0.0,0.0
121-121726-0006_4507-16021-0056,Spk2,1.553,2.887,2.72,0.487,0.758,0.735,2.093,9.144,9.124,2.334,16.405,16.324,2.959,2.673,3.175,0.937,0.919,37.5,25.0
121-121726-0007_1995-1826-0023,Spk1,1.315,2.029,2.0,0.447,0.767,0.719,-7.588,-1.108,-1.151,-7.389,-0.772,-0.809,3.229,2.883,3.244,0.974,0.961,21.429,28.571
121-121726-0007_1995-1826-0023,Spk2,1.884,2.588,2.542,0.771,0.866,0.84,7.599,9.036,8.993,7.645,10.047,9.994,3.229,3.057,3.533,0.987,0.988,12.5,25.0
121-121726-0008_4446-2273-0000,Spk2,2.105,2.937,2.337,0.636,0.848,0.791,1.42,7.694,7.615,1.543,7.959,7.88,2.42,2.558,2.88,0.989,0.986,5.556,5.556
121-121726-0009_1284-1181-0019,Spk1,2.025,3.436,3.66,0.672,0.954,0.948,4.661,14.19,14.138,4.775,16.927,16.854,2.677,2.883,2.744,0.965,0.978,20.0,20.0
121-121726-0009_7176-92135-0006,Spk1,1.59,3.077,2.665,0.563,0.866,0.828,-0.611,10.959,10.896,-0.556,12.112,12.037,2.658,2.973,2.994,0.971,0.966,0.0,7.143
121-121726-0010_2300-131720-0001,Spk1,1.582,3.314,3.012,0.553,0.906,0.873,-2.272,11.652,11.593,-2.228,13.219,13.143,3.486,3.165,2.819,0.982,0.978,0.0,0.0
121-121726-0010_260-123286-0031,Spk1,1.866,3.099,2.866,0.526,0.888,0.841,-0.001,9.664,9.657,0.137,11.475,11.484,3.205,3.055,2.883,0.969,0.965,0.0,16.667
121-121726-0011_237-126133-0017,Spk1,1.348,1.832,1.94,0.504,0.794,0.786,-5.015,-0.071,-0.068,-4.562,1.546,1.552,2.161,2.364,3.248,0.961,0.971,14.286,28.571
