ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
121-121726-0006_260-123286-0027,Spk2,1.817,3.114,2.758,0.579,0.852,0.779,1.305,12.822,12.63,1.413,15.158,14.859,3.043,3.261,3.155,0.944,0.92,0.0,0.0
121-121726-0006_61-70970-0003,Spk1,1.884,3.713,3.557,0.724,0.942,0.937,2.66,15.656,15.566,2.818,16.864,16.754,3.313,3.1,3.078,0.978,0.978,0.0,0.0
121-121726-0006_61-70970-0003,Spk2,1.852,3.446,2.611,0.524,0.9,0.822,-2.748,13.706,13.362,-2.395,15.642,15.225,3.313,3.303,3.523,0.976,0.973,10.0,20.0
121-121726-0008_4446-2273-0000,Spk1,1.513,2.424,2.496,0.591,0.889,0.87,-1.278,5.817,5.806,-0.863,6.302,6.291,2.42,3.226,3.488,0.98,0.97,42.857,14.286
121-121726-0008_5105-28240-0008,Spk2,2.371,3.723,3.112,0.695,0.876,0.808,3.315,11.859,11.714,3.393,14.253,14.051,3.393,3.282,3.581,0.985,0.983,15.385,15.385
121-121726-0009_1284-1181-0019,Spk2,1.382,2.775,2.692,0.549,0.928,0.908,-5.082,14.044,13.726,-4.822,17.151,16.708,2.677,3.337,3.63,0.951,0.936,10.0,10.0
121-121726-0010_260-123286-0031,Spk1,1.866,3.099,3.002,0.526,0.888,0.845,-0.001,9.664,9.663,0.137,11.475,11.49,3.205,3.055,3.012,0.969,0.947,0.0,0.0
121-121726-0014_7021-79740-0000,Spk2,1.592,2.591,2.624,0.687,0.911,0.873,6.39,10.325,10.295,6.514,17.701,17.558,2.14,3.09,3.183,0.981,0.979,0.0,0.0
121-121726-0014_7127-75946-0012,Spk2,1.871,3.2,2.787,0.687,0.916,0.879,1.655,11.326,11.129,1.769,14.708,14.312,2.815,3.212,3.229,0.978,0.976,0.0,0.0
121-123852-0002_1188-133604-0003,Spk1,1.428,3.116,2.732,0.411,0.89,0.837,-4.429,12.137,11.894,-4.376,14.636,14.327,2.497,3.296,3.624,0.982,0.977,0.0,12.5
121-123859-0004_2830-3980-0075,Spk1,1.452,2.92,2.853,0.618,0.895,0.882,0.099,12.726,12.68,0.086,14.667,14.648,3.399,2.995,3.591,0.987,0.976,0.0,18.182
121-123859-0004_2830-3980-0075,Spk2,1.579,3.136,2.678,0.478,0.73,0.677,-0.211,9.701,9.633,-0.003,15.233,15.089,3.399,3.165,3.95,0.982,0.969,6.25,18.75
121-127105-0000_2961-961-0016,Spk1,1.797,3.437,2.982,0.675,0.916,0.874,1.338,13.134,12.656,1.374,15.008,14.363,2.904,2.608,3.095,0.99,0.988,4.545,4.545
121-127105-0000_2961-961-0016,Spk2,1.5,2.596,2.307,0.425,0.852,0.808,-1.257,7.554,7.446,-1.148,12.142,11.895,2.904,3.166,3.529,0.973,0.965,0.0,0.0
121-127105-0000_5142-33396-0044,Spk2,1.43,2.971,2.74,0.447,0.921,0.911,-1.098,14.019,13.967,-0.999,14.988,14.929,2.921,2.787,3.016,0.975,0.976,5.882,0.0
121-127105-0001_260-123440-0019,Spk2,1.371,2.652,2.223,0.441,0.796,0.768,-1.335,7.635,7.608,-1.207,12.532,12.462,2.454,3.009,3.309,0.98,0.983,6.25,6.25
121-127105-0002_2961-960-0015,Spk2,1.487,2.578,2.105,0.431,0.812,0.776,-2.088,9.767,9.694,-2.007,14.268,14.084,2.893,3.289,3.766,0.983,0.975,16.667,16.667
121-127105-0005_4507-16021-0046,Spk1,1.569,2.977,2.888,0.582,0.908,0.895,-2.501,12.286,12.216,-2.274,13.569,13.493,3.04,2.71,3.178,0.97,0.969,0.0,0.0
121-127105-0012_61-70968-0028,Spk2,1.573,3.146,2.323,0.52,0.852,0.771,3.756,13.56,13.231,3.862,15.585,15.213,2.822,3.283,3.335,0.966,0.947,0.0,0.0
121-127105-0012_6829-68771-0035,Spk1,1.235,2.289,1.919,0.458,0.868,0.851,-5.181,9.509,9.157,-4.948,10.969,10.53,2.147,2.469,3.085,0.968,0.966,11.111,11.111
121-127105-0013_260-123288-0009,Spk1,2.104,3.514,2.815,0.765,0.889,0.847,5.955,12.464,12.033,6.163,14.373,13.819,2.631,3.148,3.183,0.985,0.979,0.0,0.0
121-127105-0019_1284-1181-0017,Spk2,1.58,3.18,2.969,0.647,0.891,0.821,5.113,12.166,11.993,5.507,14.391,14.21,3.37,3.178,3.259,0.981,0.968,8.333,16.667
121-127105-0020_5683-32866-0030,Spk2,1.573,2.921,2.692,0.685,0.868,0.853,6.314,6.988,6.966,6.392,12.12,12.08,2.218,3.061,3.278,0.962,0.957,0.0,0.0
121-127105-0023_1580-141083-0021,Spk2,1.646,3.429,3.019,0.56,0.928,0.901,2.254,12.974,12.771,2.36,14.127,13.92,2.553,3.166,3.042,0.979,0.965,0.0,0.0
121-127105-0026_5683-32879-0020,Spk1,1.63,3.369,2.862,0.639,0.926,0.866,-0.359,13.276,11.603,-0.272,15.116,13.124,2.71,3.236,3.464,0.99,0.981,20.0,15.0
121-127105-0026_7127-75946-0017,Spk2,1.429,2.902,2.151,0.387,0.786,0.672,-2.378,10.017,9.54,-2.141,11.358,10.784,2.782,2.858,3.116,0.987,0.984,16.667,16.667
121-127105-0028_4507-16021-0025,Spk2,1.467,2.87,2.261,0.506,0.82,0.78,2.492,10.033,9.963,2.548,17.664,17.358,3.188,2.979,3.656,0.953,0.938,7.143,7.143
