ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
121-127105-0019_7176-88083-0026,Spk2,1.587,1.956,1.956,0.573,0.869,0.845,4.718,10.54,10.503,4.771,12.344,12.303,2.404,3.046,3.494,0.972,0.964,14.286,7.143
121-127105-0020_2830-3980-0039,Spk1,1.57,3.205,2.808,0.568,0.91,0.892,-2.205,13.39,13.295,-2.088,14.383,14.279,3.313,3.165,3.625,0.985,0.985,0.0,0.0
121-127105-0023_1580-141083-0021,Spk1,1.537,2.678,2.516,0.566,0.854,0.836,-2.087,10.37,10.002,-1.934,11.894,11.507,2.553,3.17,3.462,0.99,0.981,16.667,0.0
121-127105-0026_4446-2273-0033,Spk1,1.47,2.999,2.821,0.543,0.879,0.879,-1.554,12.881,12.578,-1.186,14.215,13.933,2.63,2.982,3.479,0.977,0.973,0.0,0.0
121-127105-0026_4446-2275-0029,Spk1,1.432,2.84,2.717,0.525,0.895,0.886,-1.968,13.069,12.858,-1.907,14.024,13.827,2.178,3.16,3.524,0.982,0.981,0.0,0.0
121-127105-0026_4446-2275-0029,Spk2,1.426,2.91,2.536,0.514,0.833,0.792,1.84,13.346,12.8,1.899,13.806,13.227,2.178,2.973,3.587,0.987,0.978,0.0,0.0
121-127105-0026_7127-75946-0017,Spk1,1.656,3.381,3.311,0.667,0.922,0.898,2.361,13.32,12.622,2.405,14.619,13.822,2.782,3.214,3.619,0.986,0.979,0.0,0.0
121-127105-0028_4507-16021-0025,Spk1,1.601,3.615,2.955,0.6,0.939,0.903,-2.322,13.258,12.693,-2.196,16.347,15.39,3.188,3.251,3.868,0.993,0.988,0.0,0.0
121-127105-0029_5142-33396-0065,Spk1,1.594,3.204,2.691,0.62,0.902,0.883,0.202,12.083,11.991,0.251,14.089,13.96,2.642,3.327,3.31,0.989,0.981,0.0,0.0
121-127105-0029_8455-210777-0048,Spk1,1.686,3.432,2.371,0.522,0.919,0.878,-0.664,13.484,13.088,-0.55,16.715,15.985,3.08,3.325,3.602,0.983,0.975,0.0,0.0
121-127105-0031_260-123288-0009,Spk1,1.495,3.404,3.199,0.617,0.875,0.866,-1.907,11.866,11.504,-1.781,13.5,13.086,3.211,3.156,3.366,0.986,0.973,0.0,0.0
121-127105-0031_260-123288-0009,Spk2,1.514,2.715,2.406,0.588,0.914,0.849,1.545,14.078,14.001,1.681,16.885,16.764,3.211,3.229,3.321,0.978,0.975,0.0,0.0
121-127105-0035_1995-1826-0013,Spk2,1.277,2.303,2.187,0.506,0.773,0.77,-4.358,9.368,9.371,-4.224,10.925,10.931,3.327,3.296,3.732,0.973,0.966,14.815,11.111
121-127105-0035_2961-961-0004,Spk1,1.572,2.857,2.464,0.669,0.903,0.829,-1.987,12.427,11.064,-1.954,14.014,12.49,3.488,3.424,3.843,0.99,0.978,0.0,3.846
121-127105-0036_2961-960-0012,Spk1,1.131,3.166,2.993,0.597,0.896,0.887,-8.8,12.596,12.555,-8.564,14.249,14.202,2.975,2.948,3.697,0.985,0.982,0.0,0.0
1221-135766-0000_1580-141083-0013,Spk1,1.579,2.6,1.855,0.562,0.854,0.826,-3.91,11.003,10.753,-3.781,13.636,13.37,3.014,3.259,3.589,0.979,0.961,6.667,6.667
1221-135766-0002_121-127105-0005,Spk1,1.54,2.645,1.76,0.415,0.865,0.793,-1.464,11.985,11.552,-1.293,14.123,13.626,2.526,3.291,3.773,0.973,0.979,0.0,0.0
1221-135766-0002_121-127105-0005,Spk2,1.622,2.239,2.11,0.621,0.883,0.871,1.282,10.543,10.381,1.437,11.379,11.205,2.526,3.462,3.561,0.977,0.959,6.25,6.25
1221-135766-0003_1320-122617-0009,Spk1,1.599,3.665,2.926,0.438,0.852,0.735,-2.198,13.221,12.531,-2.14,15.324,14.501,2.929,3.057,3.304,0.984,0.981,0.0,0.0
1221-135766-0003_908-31957-0002,Spk1,1.944,3.579,2.646,0.664,0.935,0.85,3.502,14.091,13.687,3.601,16.773,16.211,2.91,3.158,3.326,0.987,0.98,0.0,0.0
1221-135766-0003_908-31957-0002,Spk2,1.387,2.596,2.74,0.32,0.851,0.844,-3.52,10.183,10.151,-3.25,13.323,13.271,2.91,3.369,3.895,0.958,0.968,0.0,7.692
1221-135766-0004_5105-28240-0011,Spk1,1.727,3.432,2.846,0.548,0.892,0.818,0.738,13.519,12.78,0.823,15.154,14.436,2.886,3.204,3.382,0.979,0.971,0.0,0.0
1221-135766-0004_5105-28240-0011,Spk2,1.463,3.588,3.091,0.474,0.838,0.773,-0.734,14.036,13.734,-0.65,15.782,15.448,2.886,3.317,3.713,0.988,0.982,5.556,5.556
1221-135766-0006_7176-92135-0040,Spk1,1.357,3.185,2.451,0.398,0.864,0.752,-4.027,12.396,11.481,-3.948,14.54,13.495,2.418,3.278,3.537,0.985,0.97,0.0,3.448
1221-135766-0012_6930-76324-0003,Spk1,1.835,3.567,2.768,0.54,0.803,0.745,4.192,15.102,14.747,4.279,17.665,17.189,3.197,3.053,3.32,0.974,0.96,0.0,0.0
1221-135766-0013_121-127105-0028,Spk1,1.812,3.295,2.59,0.653,0.93,0.876,5.301,11.801,11.469,5.422,15.609,15.108,2.932,2.959,3.453,0.978,0.974,0.0,0.0
1221-135766-0013_121-127105-0028,Spk2,1.21,2.92,2.468,0.38,0.911,0.893,-5.7,11.411,11.171,-5.329,14.251,13.871,2.932,3.302,3.363,0.988,0.986,0.0,0.0
