N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
162,1.705,3.059,2.767,0.544,0.844,0.804,-0.01,11.814,11.668,0.195,14.391,14.194,3.075,3.123,3.353,0.976,0.972,5.996,8.357
163,1.703,3.059,2.766,0.544,0.845,0.804,-0.038,11.816,11.669,0.167,14.393,14.195,3.072,3.124,3.355,0.977,0.972,5.959,8.382
164,1.703,3.059,2.765,0.544,0.844,0.804,-0.01,11.827,11.679,0.193,14.411,14.212,3.068,3.127,3.357,0.977,0.972,5.923,8.35
165,1.7,3.059,2.764,0.543,0.845,0.804,-0.036,11.838,11.689,0.167,14.418,14.218,3.066,3.126,3.357,0.976,0.972,5.962,8.451
166,1.7,3.06,2.763,0.543,0.845,0.804,-0.01,11.851,11.702,0.193,14.433,14.233,3.063,3.125,3.356,0.976,0.971,5.926,8.4
167,1.697,3.061,2.764,0.543,0.845,0.805,-0.044,11.863,11.714,0.158,14.442,14.242,3.064,3.125,3.359,0.976,0.971,5.891,8.35
168,1.7,3.063,2.765,0.543,0.846,0.805,-0.009,11.872,11.723,0.192,14.456,14.256,3.064,3.126,3.359,0.976,0.972,5.875,8.338
169,1.698,3.062,2.765,0.544,0.846,0.805,-0.009,11.877,11.729,0.191,14.457,14.258,3.066,3.125,3.361,0.976,0.972,5.84,8.396
170,1.698,3.062,2.765,0.544,0.845,0.804,-0.01,11.864,11.716,0.19,14.462,14.263,3.068,3.126,3.364,0.976,0.972,5.842,8.457
171,1.698,3.065,2.766,0.544,0.846,0.805,-0.002,11.872,11.722,0.197,14.465,14.263,3.067,3.123,3.363,0.976,0.972,5.835,8.434
172,1.697,3.062,2.763,0.544,0.846,0.805,-0.009,11.847,11.697,0.189,14.451,14.25,3.066,3.123,3.364,0.976,0.972,5.801,8.385
173,1.697,3.06,2.761,0.544,0.846,0.805,-0.003,11.844,11.694,0.195,14.443,14.242,3.065,3.122,3.361,0.976,0.972,5.767,8.385
174,1.695,3.06,2.761,0.543,0.846,0.806,-0.01,11.856,11.707,0.188,14.446,14.246,3.064,3.12,3.359,0.976,0.972,5.768,8.336
175,1.695,3.061,2.76,0.544,0.847,0.806,-0.002,11.856,11.707,0.195,14.441,14.241,3.061,3.12,3.358,0.977,0.972,5.735,8.289
176,1.694,3.059,2.757,0.543,0.846,0.806,-0.009,11.832,11.684,0.187,14.43,14.231,3.057,3.12,3.358,0.977,0.972,5.738,8.277
